run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
1,43,200,0.22174409998115152,0.0011087204999057575,20.143424559842956,4,"0,1,2,3",7,77,126,44
2,44,200,0.22617919999174774,0.0011308959999587387,20.143436764311836,4,"0,1,2,3",43,126,77,8
3,45,200,0.23697219998575747,0.0011848609999287874,20.14343931678449,4,"0,1,2,3",126,77,43,8
4,46,200,0.2147588999941945,0.0010737944999709725,20.14343035521066,4,"0,1,2,3",77,126,8,43
5,47,200,0.21535209997091442,0.0010767604998545722,20.1434380275055,4,"0,1,2,3",43,8,126,77
6,48,200,0.21566260000690818,0.001078313000034541,20.143435324932216,4,"0,1,2,3",8,43,77,126
7,49,200,0.21538379997946322,0.001076918999897316,20.143435076039808,4,"0,1,2,3",126,8,43,77
8,50,200,0.2140718000009656,0.001070359000004828,20.143415604896312,4,"0,1,2,3",48,126,3,77
9,51,200,0.21458790003089234,0.0010729395001544617,20.14343099497625,4,"0,1,2,3",126,43,8,77
10,52,200,0.2126917999703437,0.0010634589998517185,20.143434702117798,4,"0,1,2,3",126,77,43,8
11,53,200,0.21589959994889796,0.00107949799974449,20.143418751138324,4,"0,1,2,3",126,3,48,77
12,54,200,0.21756730001652613,0.0010878365000826307,20.14344225496265,4,"0,1,2,3",126,77,43,8
13,55,200,0.2149896000046283,0.0010749480000231415,20.143429242354884,4,"0,1,2,3",43,126,8,77
14,56,200,0.2140965000144206,0.001070482500072103,20.14341095323696,4,"0,1,2,3",77,2,127,48
15,57,200,0.21526569995330647,0.0010763284997665323,20.143410006475467,4,"0,1,2,3",127,1,49,77
16,58,200,0.2132193999714218,0.001066096999857109,20.143430077587013,4,"0,1,2,3",8,77,126,43
17,59,200,0.21235390001675114,0.0010617695000837556,20.14343169923204,4,"0,1,2,3",126,77,43,8
18,60,200,0.21583830000599846,0.0010791915000299924,20.143442904361677,4,"0,1,2,3",8,126,43,77
19,61,200,0.21300099999643862,0.001065004999982193,20.143425148136302,4,"0,1,2,3",126,44,77,7
20,62,200,0.21463450003648177,0.0010731725001824088,20.143436467748714,4,"0,1,2,3",8,77,43,126
21,63,200,0.21255960001144558,0.0010627980000572279,20.14342603256897,4,"0,1,2,3",44,77,7,126
22,64,200,0.2136735999956727,0.0010683679999783635,20.14343403054179,4,"0,1,2,3",8,126,43,77
23,65,200,0.2147213999996893,0.0010736069999984466,20.143419928252367,4,"0,1,2,3",77,47,126,4
24,66,200,0.2149824000080116,0.0010749120000400582,20.143442704705524,4,"0,1,2,3",77,8,43,126
25,67,200,0.21409869997296482,0.001070493499864824,20.14343800980069,4,"0,1,2,3",43,77,8,126
26,68,200,0.21349110000301152,0.0010674555000150577,20.143418819037365,4,"0,1,2,3",77,47,126,4
27,69,200,0.21295789995929226,0.0010647894997964614,20.143417928373033,4,"0,1,2,3",4,77,126,47
28,70,200,0.2128196000121534,0.001064098000060767,20.14344156300973,4,"0,1,2,3",8,126,43,77
29,71,200,0.21228089998476207,0.0010614044999238104,20.143441542461524,4,"0,1,2,3",43,126,77,8
30,72,200,0.21333589998539537,0.0010666794999269768,20.143443608417112,4,"0,1,2,3",77,126,8,43
31,73,200,0.2114729000022635,0.0010573645000113174,20.14341434109325,4,"0,1,2,3",48,77,126,3
32,74,200,0.21307040000101551,0.0010653520000050776,20.143423630819566,4,"0,1,2,3",77,7,44,126
33,75,200,0.21417450002627447,0.0010708725001313724,20.143411605365134,4,"0,1,2,3",2,49,77,126
34,76,200,0.21249710000120103,0.001062485500006005,20.143421779284154,4,"0,1,2,3",77,126,3,48
35,77,200,0.2146047999849543,0.0010730239999247714,20.143439161937884,4,"0,1,2,3",126,8,77,43
36,78,200,0.21322129998588935,0.0010661064999294466,20.14342093465653,4,"0,1,2,3",126,77,44,7
37,79,200,0.2138727999990806,0.001069363999995403,20.143416026328893,4,"0,1,2,3",49,77,2,126
38,80,200,0.2148147000116296,0.0010740735000581481,20.14341492901056,4,"0,1,2,3",77,126,3,48
39,81,200,0.2116501000127755,0.0010582505000638776,20.1434068575287,3,"0,2,3",77,0,127,50
40,82,200,0.22947059996658936,0.0011473529998329468,20.143440729906857,4,"0,1,2,3",77,126,8,43
41,83,200,0.2107969000353478,0.001053984500176739,20.143440930756384,4,"0,1,2,3",43,77,126,8
42,84,200,0.21208269998896867,0.0010604134999448434,20.14344406461686,4,"0,1,2,3",43,77,126,8
43,85,200,0.23184339998988435,0.0011592169999494217,20.143419664963098,4,"0,1,2,3",4,126,47,77
44,86,200,0.21269760001450777,0.0010634880000725388,20.143438883051388,4,"0,1,2,3",43,8,77,126
45,87,200,0.2137751000118442,0.001068875500059221,20.143409303664356,4,"0,1,2,3",49,127,1,77
46,88,200,0.21295730001293123,0.0010647865000646562,20.14343205978178,4,"0,1,2,3",126,8,43,77
47,89,200,0.21490010002162308,0.0010745005001081154,20.143423174448994,4,"0,1,2,3",44,7,77,126
48,90,200,0.21323539997683838,0.001066176999884192,20.14342697019415,4,"0,1,2,3",77,7,126,44
49,91,200,0.21474359999410808,0.0010737179999705405,20.143449133142703,4,"0,1,2,3",77,126,8,43
50,92,200,0.21667340002022684,0.0010833670001011342,20.143433027598558,4,"0,1,2,3",126,77,43,8
51,93,200,0.21300450002308935,0.0010650225001154468,20.14343405397299,4,"0,1,2,3",43,8,77,126
52,94,200,0.21573659998830408,0.0010786829999415203,20.143443820853847,4,"0,1,2,3",126,8,43,77
53,95,200,0.211458700010553,0.001057293500052765,20.143442706102558,4,"0,1,2,3",77,8,126,43
54,96,200,0.21194120001746342,0.001059706000087317,20.143439356426867,4,"0,1,2,3",8,43,77,126
55,97,200,0.21310509997420013,0.0010655254998710006,20.143438700067826,4,"0,1,2,3",126,43,77,8
56,98,200,0.21507109998492524,0.0010753554999246263,20.143433848787936,4,"0,1,2,3",8,77,126,43
57,99,200,0.21459350001532584,0.0010729675000766292,20.143421235213644,4,"0,1,2,3",126,77,44,7
58,100,200,0.21435640001436695,0.0010717820000718348,20.143431297683172,4,"0,1,2,3",77,43,126,8
59,101,200,0.21455180004704744,0.0010727590002352371,20.143412608486177,4,"0,1,2,3",2,126,77,49
60,102,200,0.21306959999492392,0.0010653479999746195,20.143440788915136,4,"0,1,2,3",126,43,8,77
61,103,200,0.21408180001890287,0.0010704090000945143,20.14342692832325,4,"0,1,2,3",77,126,44,7
62,104,200,0.2138367000152357,0.0010691835000761784,20.143432846104155,4,"0,1,2,3",77,8,126,43
63,105,200,0.2135054999962449,0.0010675274999812246,20.143430683061013,4,"0,1,2,3",8,77,126,43
64,106,200,0.2152232999796979,0.0010761164998984896,20.143407583593834,4,"0,1,2,3",1,77,127,49
65,107,200,0.21207419998245314,0.0010603709999122658,20.143444029372485,4,"0,1,2,3",77,8,126,43
66,108,200,0.21504809998441488,0.0010752404999220743,20.143446959060444,4,"0,1,2,3",43,126,77,8
67,109,200,0.21690309996483847,0.0010845154998241923,20.14341517482505,4,"0,1,2,3",2,49,77,126
68,110,200,0.21311179996700957,0.001065558999835048,20.143437664934165,4,"0,1,2,3",77,43,8,126
69,111,200,0.2140829000272788,0.001070414500136394,20.143428708340693,4,"0,1,2,3",8,77,126,43
70,112,200,0.21385669999290258,0.0010692834999645128,20.143425180683852,4,"0,1,2,3",77,44,7,126
71,113,200,0.21388220001244918,0.001069411000062246,20.143433618318113,4,"0,1,2,3",77,8,126,43
72,114,200,0.21355909999692813,0.0010677954999846406,20.143427396461803,4,"0,1,2,3",8,126,77,43
73,115,200,0.21219379996182397,0.0010609689998091199,20.143424833450027,4,"0,1,2,3",44,77,7,126
74,116,200,0.2143703000037931,0.0010718515000189654,20.14343404652313,4,"0,1,2,3",126,8,77,43
75,117,200,0.213802799989935,0.001069013999949675,20.14343698274587,4,"0,1,2,3",8,43,77,126
76,118,200,0.21370040002511814,0.0010685020001255908,20.143431724555484,4,"0,1,2,3",43,77,126,8
77,119,200,0.21293869998771697,0.001064693499938585,20.143442977288977,4,"0,1,2,3",8,77,126,43
78,120,200,0.21321230003377423,0.001066061500168871,20.14343814514353,4,"0,1,2,3",43,8,126,77
79,121,200,0.21578309999313205,0.0010789154999656602,20.143430891379836,4,"0,1,2,3",8,77,126,43
80,122,200,0.21229449997190386,0.0010614724998595194,20.143421315412358,4,"0,1,2,3",77,7,44,126
81,123,200,0.21486189996358007,0.0010743094998179005,20.14340980597205,4,"0,1,2,3",127,77,49,1
82,124,200,0.2135740999947302,0.001067870499973651,20.143415555838473,4,"0,1,2,3",126,49,2,77
83,125,200,0.21230209997156635,0.0010615104998578317,20.143438996879944,4,"0,1,2,3",43,8,77,126
84,126,200,0.21614830003818497,0.0010807415001909248,20.14343947103118,4,"0,1,2,3",126,77,8,43
85,127,200,0.2129677000339143,0.0010648385001695716,20.143443657929716,4,"0,1,2,3",126,77,43,8
86,128,200,0.21587720001116395,0.0010793860000558198,20.143426198730673,4,"0,1,2,3",126,77,7,44
87,129,200,0.2132689999998547,0.0010663449999992736,20.143435431274245,4,"0,1,2,3",43,8,126,77
88,130,38,0.04266859998460859,0.0011228578943318051,20.143403330861318,3,"0,1,2",77,50,127,0
89,131,200,0.21551340003497899,0.001077567000174895,20.143442700370247,4,"0,1,2,3",43,8,126,77
90,132,200,0.21264199999859557,0.0010632099999929778,20.143417236147883,4,"0,1,2,3",77,2,49,126
91,133,200,0.21288669999921694,0.0010644334999960847,20.143443077850513,4,"0,1,2,3",8,43,77,126
92,134,200,0.21359100000699982,0.0010679550000349991,20.143427819377493,4,"0,1,2,3",43,77,126,8
93,135,200,0.21938119997503236,0.0010969059998751618,20.14343530367021,4,"0,1,2,3",126,8,77,43
94,136,200,0.21575530001427978,0.0010787765000713988,20.14342960526946,4,"0,1,2,3",126,8,77,43
95,137,200,0.2183765999507159,0.0010918829997535796,20.14342621131449,4,"0,1,2,3",7,126,77,44
96,138,200,0.21358969999710098,0.0010679484999855048,20.143425525421815,4,"0,1,2,3",77,7,44,126
97,139,200,0.21337040001526475,0.0010668520000763238,20.1434447272757,4,"0,1,2,3",126,77,8,43
98,140,200,0.2127665999578312,0.001063832999789156,20.143434412273457,4,"0,1,2,3",8,126,77,43
99,141,200,0.21632300002966076,0.0010816150001483039,20.14344613885976,4,"0,1,2,3",126,77,43,8
100,142,200,0.21292610000818968,0.0010646305000409483,20.143417301144133,4,"0,1,2,3",48,3,126,77
TOTAL_RUNTIME,,,21.787738999992143,,,,,,,,
