iterasi,objective_value
1,20.276284912813885
2,20.24082227778228
3,20.237090879605546
4,20.234913741712603
5,20.232459203037912
6,20.229184474497618
7,20.22473846078817
8,20.218808890993383
9,20.21116583600768
10,20.20179742841293
11,20.191083546748697
12,20.179883503805954
13,20.169369775285702
14,20.160593036062963
15,20.15406321160146
16,20.149673411958098
17,20.146950801429
18,20.145358692831927
19,20.144464544049768
20,20.14397566440651
21,20.143713026209618
22,20.143573550046142
23,20.14350003910244
24,20.143461481851645
25,20.143441312611387
26,20.143430769010727
27,20.143425246982687
28,20.143422338462535
29,20.143420787991374
30,20.14341994250457
31,20.143419462833183
32,20.143419173028615
33,20.143418981886917
34,20.143418842156954
35,20.143418729366388
36,20.14341863084173
37,20.143418540018672
38,20.143418453495347
39,20.143418369506623
40,20.143418287134462
41,20.143418205899234
42,20.14341812554825
43,20.14341804594637
44,20.14341796701933
45,20.14341788872453
46,20.1434178110358
47,20.143417733935582
48,20.14341765741088
49,20.14341758145112
50,20.143417506047093
51,20.143417431190365
52,20.143417356872977
53,20.143417283087306
54,20.14341720982597
55,20.14341713708179
56,20.143417064847757
57,20.143416993117015
58,20.143416921882874
59,20.14341685113877
60,20.14341678087829
61,20.143416711095142
62,20.143416641783165
63,20.143416572936342
64,20.143416504548753
65,20.143416436614615
66,20.143416369128254
67,20.143416302084113
68,20.143416235476742
69,20.14341616930081
70,20.143416103551072
71,20.143416038222405
72,20.14341597330978
73,20.143415908808258
74,20.14341584471301
75,20.143415781019286
76,20.14341571772244
77,20.143415654817915
78,20.14341559230122
79,20.143415530167978
80,20.14341546841387
81,20.143415407034674
82,20.14341534602625
83,20.143415285384513
84,20.14341522510548
85,20.143415165185218
86,20.14341510561988
87,20.143415046405693
88,20.14341498753894
89,20.143414929015975
90,20.143414870833226
91,20.143414812987174
92,20.143414755474375
93,20.143414698291423
94,20.143414641435
95,20.14341458490183
96,20.1434145286887
97,20.14341447279245
98,20.14341441720997
99,20.14341436193822
100,20.14341430697419
101,20.14341425231494
102,20.143414197957572
103,20.14341414389923
104,20.143414090137114
105,20.14341403666848
106,20.143413983490614
107,20.14341393060085
108,20.14341387799657
109,20.143413825675196
110,20.143413773634194
111,20.14341372187107
112,20.143413670383374
113,20.14341361916869
114,20.14341356822464
115,20.143413517548886
116,20.14341346713913
117,20.143413416993106
118,20.143413367108586
119,20.14341331748337
120,20.143413268115296
121,20.143413219002248
122,20.143413170142125
123,20.14341312153286
124,20.143413073172425
125,20.14341302505882
126,20.143412977190074
127,20.143412929564235
128,20.143412882179405
129,20.143412835033693
130,20.143412788125243
131,20.143412741452224
132,20.143412695012827
133,20.143412648805285
134,20.143412602827837
135,20.14341255707876
136,20.14341251155636
137,20.143412466258944
138,20.14341242118487
139,20.143412376332495
140,20.14341233170022
141,20.143412287286452
142,20.143412243089635
143,20.143412199108212
144,20.14341215534067
145,20.14341211178551
146,20.143412068441243
147,20.14341202530641
148,20.143411982379565
149,20.143411939659295
150,20.143411897144183
151,20.143411854832856
152,20.143411812723933
153,20.143411770816073
154,20.143411729107935
155,20.143411687598213
156,20.1434116462856
157,20.14341160516881
158,20.14341156424659
159,20.143411523517678
160,20.143411482980838
161,20.14341144263485
162,20.143411402478513
163,20.14341136251064
164,20.143411322730046
165,20.143411283135574
166,20.143411243726078
167,20.143411204500417
168,20.14341116545748
169,20.14341112659615
170,20.143411087915336
171,20.14341104941396
172,20.143411011090947
173,20.14341097294524
174,20.143410934975805
175,20.143410897181592
176,20.14341085956159
177,20.143410822114788
178,20.14341078484019
179,20.143410747736798
180,20.143410710803646
181,20.143410674039764
182,20.143410637444205
183,20.143410601016008
184,20.143410564754248
185,20.143410528658
186,20.143410492726346
187,20.143410456958385
188,20.143410421353217
189,20.143410385909963
190,20.143410350627732
191,20.143410315505673
192,20.14341028054291
193,20.1434102457386
194,20.143410211091908
195,20.14341017660199
196,20.14341014226802
197,20.143410108089192
198,20.14341007406469
199,20.143410040193707
200,20.143410006475467
