iterasi,objective_value
1,72.40111471566371
2,53.74237514332498
3,52.908360948579556
4,51.40363025771933
5,49.830664339363686
6,48.674220996460114
7,46.50845878729998
8,45.41266852634982
9,45.54546000369935
10,45.62894016332765
11,45.6653105522403
12,45.6287681798687
13,45.77282297614174
14,45.92746186042525
15,45.460254127526625
16,45.56795779100105
17,45.71848147469615
18,45.27788056363004
19,46.22699953423515
20,45.067993591850644
21,45.28785792559074
22,45.238276607362835
23,45.51052116834448
24,45.37499967769035
25,45.373266282379255
26,45.37324788713321
27,45.37324759122457
28,45.373247586350296
