Run,K-Means,FCM,FRCM,FA-FRCM
1,,6861.115428365072,63572584.25480194,52289267.67066912
2,,112920.69478742091,127484233.91241258,42246688.14589908
3,,26338.169955695175,306191678.7934034,27536294.30646331
4,,13449.128043638015,11748752.74246716,32981264.284231156
5,,10360958.090021098,16189357.343705617,32027468.681095414
6,,450152.2935910363,6289695.500833027,243785989.87183738
7,,25528.153854973058,238660496.77214122,17794816.368354674
8,,1567.7609026513649,238660496.77214122,36044526.23143081
9,,1778.5751883161597,17765956.03562378,10126337.168395763
10,,2532.371047347622,184697947.89034998,35017940.89643825
11,,883.8501039879949,12409292.142894674,8313919.126129644
12,,40548.77185864437,31896687.42333435,8313919.126129644
13,,4235.758879341583,71045035.44856016,7928477.409910467
14,,14460.755440801508,102086205.68629318,5604362.652191871
15,,212146.14432698462,54761532.18994623,39761757.311688595
16,,2308.0278499132623,20953094.570098132,34879780.09247368
17,,15860.448468799541,104262082.28277571,100942879.43053743
18,,53300718.57027597,37517962.97063178,35272495.61711731
19,,1891.914167236705,20226660.572939377,8175289.414736332
20,,18615.842871677465,179502378.00148484,11878891.964352021
21,,7145.1457298599835,65617656.59422952,8175289.414736332
22,,3385.2703247019826,8785716.098963186,211424615.7304536
23,,1933.9483583647868,31563147.304659054,10126337.168395763
24,,859615.3624472958,9013238.901388688,69867606.93205109
25,,20203.15908067627,54686351.51361096,6430620.909642672
26,,9918.19708488709,614127649.6813854,54966942.59059348
27,,9108.581006661148,202031294.2319844,24847795.674210243
28,,20630.200662864525,98352503.63073783,143644867.8728889
29,,55813.457362644454,127484233.91241258,8252406.107633431
30,,9630.618918512266,33607695.48038633,9568660.146170985
31,,2000.0741123396042,8868735.581073275,42246688.14589908
32,,2803.2991075495024,13346976.019779049,36802515.32095221
33,,1506.9267510337586,34131353.764680736,24712701.102048796
34,,767.3585606683328,18245636.23821551,177253474.17718703
35,,27736.563442278526,10825834.671799693,35272495.61711731
36,,2842.5520603926298,33919439.28606411,33844967.67347429
37,,1337.0319975029208,19116477.537984047,35272495.61711731
38,,7803.338264868899,12237271.338417768,143289215.40344438
39,,7633602.555152178,33607695.48038633,34671398.20015974
40,,2210505.789696115,23553179.494827867,30574166.6227272
41,,97647.15108041312,110352962.46415545,61518904.30429933
42,,36637.09265184138,63413356.906902745,193894641.0621013
43,,1517.059531905669,20226660.572939377,106461551.40160355
44,,56685.58908378045,10614470.687363455,215333163.23450655
45,,3051.3201014662804,96935649.45190391,5776492.53044819
46,,10416.537008092402,56566682.33112008,200756975.93627772
47,,1795.2020279964831,112109346.05471343,173125735.91195327
48,,3305.38669146682,94074207.17364061,8519611.964905042
49,,31586.593798248763,70192126.3794439,37016706.60273688
50,,7905.557337080653,111980226.01329088,35272495.61711731
51,,4468.56129138418,117376846.16548638,32027468.681095414
52,,166767.96134672585,71567735.05469546,38580155.90549484
53,,447878.2059227276,18107447.55420732,35017940.89643825
54,,4613.096857046362,36367933.29393199,45524995.7410422
55,,119100.69435035341,176023208.45664787,50394473.008543976
56,,8073.875842738498,19062318.54907131,27536294.30646331
57,,5270.967617069101,30903208.029532332,9834831.041563045
58,,8112.441027760372,56566682.33112008,35272495.61711731
59,,1289.5472962891577,37765127.09533962,10126337.168395763
60,,53960.09688615935,10333983.5798442,32119243.415830094
61,,6356.070871782123,182046948.70362246,205593159.3099831
62,,29961.530900684662,145095692.1297714,54966942.59059348
63,,14737.631528715516,13202309.398241831,173125735.91195327
64,,14532.415431368972,56253539.81129322,36802515.32095221
65,,4772296.47188093,10182212.369943874,24616270.49172081
66,,132754.9409911543,24507122.471641902,69024011.30571172
67,,1008.3779514253977,49294599.865339555,8004848.084359322
68,,15556.539531021981,251052412.97277072,28576337.85732809
69,,2819.708437575616,6275946.3619097015,71395820.71757576
70,,13544.35622190128,17765956.03562378,8175289.414736332
71,,386658.10318751616,10667594.189927867,44043449.68477811
72,,79479.62924206616,7520692.09822733,39238029.74653916
73,,2521.2945345217577,13967138.7210355,24843413.43335227
74,,9449.498055338705,79932811.6795865,33088766.030751396
75,,33289.003130714846,29777610.997296397,211424615.7304536
76,,8134.749811405735,175106599.17471385,137429206.70033967
77,,254383.44371633168,124589596.08096103,56064492.05706915
78,,33731.44093432046,260514979.7271597,32119243.415830094
79,,4377.273419865317,18193022.353718426,34671398.20015974
80,,1276734.3607259686,9152547.513509423,8543238.224276252
81,,692511.3610359905,104262082.28277571,8543238.224276252
82,,1281.2671735903482,267399198.96645337,29147746.085014064
83,,16803.674078609634,20953094.570098132,35272495.61711731
84,,158766.14349049883,141426920.19293818,24712701.102048796
85,,196022.82876908506,34416765.44845739,9834831.041563045
86,,14321.130167442752,96125451.17364894,9834831.041563045
87,,29528.285457328984,96125451.17364894,24616270.49172081
88,,132211.86821169368,20226660.572939377,11878891.964352021
89,,40976.43823806817,14104695.750115493,10126337.168395763
90,,1057.607155718468,141426920.19293818,173125735.91195327
91,,6195459.1774233,21143332.925432503,35272495.61711731
92,,27138.838855379465,9105027.509628957,119351962.19256246
93,,12524.396298275875,81240643.74844562,35017940.89643825
94,,4926.712303307304,128479415.5186931,28576337.85732809
95,,1282.0819554448806,105759335.87304126,69024011.30571172
96,,2180.620214500322,46397641.9525195,95471622.12328392
97,,30503.89204203396,37517962.97063178,61518904.30429933
98,,4810.124412473297,260514979.7271597,8543238.224276252
99,,1073309.734889945,108686614.96699928,100942879.43053743
100,,869.3181236603294,39716846.37829746,8543238.224276252
