Run,Metode,k,Silhouette,File
1,K-Means,4,0.14947791450292894,kmeans_k4_run1.csv
2,K-Means,4,0.18101865847806467,kmeans_k4_run2.csv
3,K-Means,4,0.26268809178975683,kmeans_k4_run3.csv
4,K-Means,4,0.16035064463875046,kmeans_k4_run4.csv
5,K-Means,4,0.2503430089962998,kmeans_k4_run5.csv
6,K-Means,4,0.18479234164660147,kmeans_k4_run6.csv
7,K-Means,4,0.2689134468483519,kmeans_k4_run7.csv
8,K-Means,4,0.2733713958530389,kmeans_k4_run8.csv
9,K-Means,4,0.11253656830354333,kmeans_k4_run9.csv
10,K-Means,4,0.3052716941284655,kmeans_k4_run10.csv
11,K-Means,4,0.27722802802739993,kmeans_k4_run11.csv
12,K-Means,4,0.1815765839413775,kmeans_k4_run12.csv
13,K-Means,4,0.09615130642848686,kmeans_k4_run13.csv
14,K-Means,4,0.2772244754122898,kmeans_k4_run14.csv
15,K-Means,4,0.188818571076289,kmeans_k4_run15.csv
16,K-Means,4,0.18221443133444346,kmeans_k4_run16.csv
17,K-Means,4,0.27234897591489743,kmeans_k4_run17.csv
18,K-Means,4,0.28555715186792635,kmeans_k4_run18.csv
19,K-Means,4,0.28153679481521354,kmeans_k4_run19.csv
20,K-Means,4,0.2838712303423354,kmeans_k4_run20.csv
21,K-Means,4,0.32161558888036257,kmeans_k4_run21.csv
22,K-Means,4,0.1676654972608383,kmeans_k4_run22.csv
23,K-Means,4,0.322143188888975,kmeans_k4_run23.csv
24,K-Means,4,0.14775213161039283,kmeans_k4_run24.csv
25,K-Means,4,0.2720632694778134,kmeans_k4_run25.csv
26,K-Means,4,0.1632175391542161,kmeans_k4_run26.csv
27,K-Means,4,0.1818758397381973,kmeans_k4_run27.csv
28,K-Means,4,0.19087319314071782,kmeans_k4_run28.csv
29,K-Means,4,0.31951537316057604,kmeans_k4_run29.csv
30,K-Means,4,0.27909416148814997,kmeans_k4_run30.csv
31,K-Means,4,0.19528122612678644,kmeans_k4_run31.csv
32,K-Means,4,0.19567164594290629,kmeans_k4_run32.csv
33,K-Means,4,0.20350018306803153,kmeans_k4_run33.csv
34,K-Means,4,0.28276796942826066,kmeans_k4_run34.csv
35,K-Means,4,0.27382674639166793,kmeans_k4_run35.csv
36,K-Means,4,0.29713972650765086,kmeans_k4_run36.csv
37,K-Means,4,0.2808408558328697,kmeans_k4_run37.csv
38,K-Means,4,0.1620690328573296,kmeans_k4_run38.csv
39,K-Means,4,0.1815765839413775,kmeans_k4_run39.csv
40,K-Means,4,0.3204681480702196,kmeans_k4_run40.csv
41,K-Means,4,0.18576161683999248,kmeans_k4_run41.csv
42,K-Means,4,0.321083059168863,kmeans_k4_run42.csv
43,K-Means,4,0.19278562155163828,kmeans_k4_run43.csv
44,K-Means,4,0.20038412028685948,kmeans_k4_run44.csv
45,K-Means,4,0.24874716664600124,kmeans_k4_run45.csv
46,K-Means,4,0.18882095732000947,kmeans_k4_run46.csv
47,K-Means,4,0.27023689277586505,kmeans_k4_run47.csv
48,K-Means,4,0.3115649300184073,kmeans_k4_run48.csv
49,K-Means,4,0.1632175391542161,kmeans_k4_run49.csv
50,K-Means,4,0.18221443133444346,kmeans_k4_run50.csv
51,K-Means,4,0.2762582761955296,kmeans_k4_run51.csv
52,K-Means,4,0.19373403515429188,kmeans_k4_run52.csv
53,K-Means,4,0.2838712303423354,kmeans_k4_run53.csv
