Run,Metode,k,Symmetric Purity,File
1,K-Means,4,0.6350284417740553,kmeans_k4_run1.csv
2,K-Means,4,0.7328305060650525,kmeans_k4_run2.csv
3,K-Means,4,0.6949758293455982,kmeans_k4_run3.csv
4,K-Means,4,0.6234546155960999,kmeans_k4_run4.csv
5,K-Means,4,0.7252693091244767,kmeans_k4_run5.csv
6,K-Means,4,0.7312873918677132,kmeans_k4_run6.csv
7,K-Means,4,0.7626174949319597,kmeans_k4_run7.csv
8,K-Means,4,0.7625151007877775,kmeans_k4_run8.csv
9,K-Means,4,0.555344034930494,kmeans_k4_run9.csv
10,K-Means,4,0.6605065785889146,kmeans_k4_run10.csv
11,K-Means,4,0.6764650347482514,kmeans_k4_run11.csv
12,K-Means,4,0.7324220254501116,kmeans_k4_run12.csv
13,K-Means,4,0.6253485941315317,kmeans_k4_run13.csv
14,K-Means,4,0.6801487188832962,kmeans_k4_run14.csv
15,K-Means,4,0.6472230520218615,kmeans_k4_run15.csv
16,K-Means,4,0.7332079866179936,kmeans_k4_run16.csv
17,K-Means,4,0.7646514434443011,kmeans_k4_run17.csv
18,K-Means,4,0.7484993151804485,kmeans_k4_run18.csv
19,K-Means,4,0.7551270658096871,kmeans_k4_run19.csv
20,K-Means,4,0.7523489592433731,kmeans_k4_run20.csv
21,K-Means,4,0.6906254873115808,kmeans_k4_run21.csv
22,K-Means,4,0.6225258662638536,kmeans_k4_run22.csv
23,K-Means,4,0.6907743815487631,kmeans_k4_run23.csv
24,K-Means,4,0.5336751481583771,kmeans_k4_run24.csv
25,K-Means,4,0.763206496109962,kmeans_k4_run25.csv
26,K-Means,4,0.5256303189374055,kmeans_k4_run26.csv
27,K-Means,4,0.7292164937865229,kmeans_k4_run27.csv
28,K-Means,4,0.7311981492649854,kmeans_k4_run28.csv
29,K-Means,4,0.6885965489102694,kmeans_k4_run29.csv
30,K-Means,4,0.7481199558358713,kmeans_k4_run30.csv
31,K-Means,4,0.745665940826831,kmeans_k4_run31.csv
32,K-Means,4,0.7352312886443957,kmeans_k4_run32.csv
33,K-Means,4,0.6772279807185877,kmeans_k4_run33.csv
34,K-Means,4,0.7519138624135834,kmeans_k4_run34.csv
35,K-Means,4,0.7559236734635085,kmeans_k4_run35.csv
36,K-Means,4,0.7220474946000399,kmeans_k4_run36.csv
37,K-Means,4,0.7418753221344826,kmeans_k4_run37.csv
38,K-Means,4,0.6361136005100293,kmeans_k4_run38.csv
39,K-Means,4,0.7324220254501115,kmeans_k4_run39.csv
40,K-Means,4,0.6995228182375557,kmeans_k4_run40.csv
41,K-Means,4,0.7374374597234041,kmeans_k4_run41.csv
42,K-Means,4,0.6798517132387799,kmeans_k4_run42.csv
43,K-Means,4,0.7443083573035832,kmeans_k4_run43.csv
44,K-Means,4,0.7437228005769142,kmeans_k4_run44.csv
45,K-Means,4,0.7322316412309592,kmeans_k4_run45.csv
46,K-Means,4,0.732540232757233,kmeans_k4_run46.csv
47,K-Means,4,0.76195459461626,kmeans_k4_run47.csv
48,K-Means,4,0.6637727012827764,kmeans_k4_run48.csv
49,K-Means,4,0.5256303189374055,kmeans_k4_run49.csv
50,K-Means,4,0.7332079866179936,kmeans_k4_run50.csv
51,K-Means,4,0.7595492716237957,kmeans_k4_run51.csv
52,K-Means,4,0.7413909070242383,kmeans_k4_run52.csv
53,K-Means,4,0.7523489592433731,kmeans_k4_run53.csv
54,K-Means,4,0.7324220254501115,kmeans_k4_run54.csv
55,K-Means,4,0.6606711294230669,kmeans_k4_run55.csv
56,K-Means,4,0.7437228005769142,kmeans_k4_run56.csv
57,K-Means,4,0.7352312886443957,kmeans_k4_run57.csv
58,K-Means,4,0.7337598816611774,kmeans_k4_run58.csv
59,K-Means,4,0.7321685451451713,kmeans_k4_run59.csv
60,K-Means,4,0.7658645165775181,kmeans_k4_run60.csv
61,K-Means,4,0.7328305060650525,kmeans_k4_run61.csv
62,K-Means,4,0.7559236734635086,kmeans_k4_run62.csv
63,K-Means,4,0.6885965489102694,kmeans_k4_run63.csv
64,K-Means,4,0.7307910777437716,kmeans_k4_run64.csv
65,K-Means,4,0.7226286674795571,kmeans_k4_run65.csv
66,K-Means,4,0.763206496109962,kmeans_k4_run66.csv
67,K-Means,4,0.7332079866179936,kmeans_k4_run67.csv
68,K-Means,4,0.7227030363151634,kmeans_k4_run68.csv
69,K-Means,4,0.698197643870035,kmeans_k4_run69.csv
70,K-Means,4,0.7662767547757318,kmeans_k4_run70.csv
71,K-Means,4,0.6895267073362429,kmeans_k4_run71.csv
72,K-Means,4,0.7080230978643776,kmeans_k4_run72.csv
73,K-Means,4,0.7324220254501115,kmeans_k4_run73.csv
74,K-Means,4,0.6748672790274874,kmeans_k4_run74.csv
75,K-Means,4,0.7187594526704205,kmeans_k4_run75.csv
76,K-Means,4,0.73187404455617,kmeans_k4_run76.csv
77,K-Means,4,0.6244007437509824,kmeans_k4_run77.csv
78,K-Means,4,0.757339499527484,kmeans_k4_run78.csv
79,K-Means,4,0.7316431097508661,kmeans_k4_run79.csv
80,K-Means,4,0.7057254922590653,kmeans_k4_run80.csv
81,K-Means,4,0.7622397012470793,kmeans_k4_run81.csv
82,K-Means,4,0.6982430480012475,kmeans_k4_run82.csv
83,K-Means,4,0.7328305060650525,kmeans_k4_run83.csv
84,K-Means,4,0.5256303189374054,kmeans_k4_run84.csv
85,K-Means,4,0.7407356784410538,kmeans_k4_run85.csv
86,K-Means,4,0.7440528416410368,kmeans_k4_run86.csv
87,K-Means,4,0.6500036636436909,kmeans_k4_run87.csv
88,K-Means,4,0.7292164937865229,kmeans_k4_run88.csv
89,K-Means,4,0.7523489592433731,kmeans_k4_run89.csv
90,K-Means,4,0.5256303189374055,kmeans_k4_run90.csv
91,K-Means,4,0.7650622725487877,kmeans_k4_run91.csv
92,K-Means,4,0.7096264899600506,kmeans_k4_run92.csv
93,K-Means,4,0.6619415057011931,kmeans_k4_run93.csv
94,K-Means,4,0.5366917046965408,kmeans_k4_run94.csv
95,K-Means,4,0.6885965489102693,kmeans_k4_run95.csv
96,K-Means,4,0.7136993970957638,kmeans_k4_run96.csv
97,K-Means,4,0.6580989071069051,kmeans_k4_run97.csv
98,K-Means,4,0.7439598414550366,kmeans_k4_run98.csv
99,K-Means,4,0.7327165260391126,kmeans_k4_run99.csv
100,K-Means,4,0.7662767547757318,kmeans_k4_run100.csv
