Run,K-Means,FCM,FRCM,FA-FRCM
1,,6861.115428365072,63572584.25480194,54966942.59059348
2,,112920.69478742091,127484233.91241258,42246688.14589908
3,,26338.169955695175,306191678.7934034,11460579.235518103
4,,13449.128043638015,11748752.74246716,32981264.284231156
5,,10360958.090021098,16189357.343705617,32027468.681095414
6,,450152.2935910363,6289695.500833027,243785989.87183738
7,,25528.153854973058,238660496.77214122,205593159.3099831
8,,1567.7609026513649,238660496.77214122,36044526.23143081
9,,1778.5751883161597,17765956.03562378,8414973.821889048
10,,2532.371047347622,184697947.89034998,243785989.87183738
11,,883.8501039879949,12409292.142894674,8313919.126129644
12,,40548.77185864437,31896687.42333435,8313919.126129644
13,,4235.758879341583,71045035.44856016,7928477.409910467
14,,14460.755440801508,102086205.68629318,5604362.652191871
15,,212146.14432698462,54761532.18994623,39238029.74653916
16,,2308.0278499132623,20953094.570098132,58475437.33932802
17,,15860.448468799541,104262082.28277571,8313919.126129644
18,,53300718.57027597,37517962.97063178,61518904.30429933
19,,1891.914167236705,20226660.572939377,8175289.414736332
20,,18615.842871677465,179502378.00148484,44043449.68477811
21,,7145.1457298599835,65617656.59422952,8175289.414736332
22,,3385.2703247019826,8785716.098963186,219291919.08945334
23,,1933.9483583647868,31563147.304659054,8414973.821889048
24,,859615.3624472958,9013238.901388688,69867606.93205109
25,,20203.15908067627,54686351.51361096,8313919.126129644
26,,9918.19708488709,614127649.6813854,33916552.54212217
27,,9108.581006661148,202031294.2319844,9834831.041563045
28,,20630.200662864525,98352503.63073783,35272495.61711731
29,,55813.457362644454,127484233.91241258,8252406.107633431
30,,9630.618918512266,33607695.48038633,24843413.43335227
31,,2000.0741123396042,8868735.581073275,42246688.14589908
32,,2803.2991075495024,13346976.019779049,219291919.08945334
33,,1506.9267510337586,34131353.764680736,8140686.935142585
34,,767.3585606683328,18245636.23821551,177253474.17718703
35,,27736.563442278526,10825834.671799693,8414973.821889048
36,,2842.5520603926298,33919439.28606411,33844967.67347429
37,,1337.0319975029208,19116477.537984047,28576337.85732809
38,,7803.338264868899,12237271.338417768,143289215.40344438
39,,7633602.555152178,33607695.48038633,8175289.414736332
40,,2210505.789696115,23553179.494827867,30574166.6227272
41,,97647.15108041312,110352962.46415545,11460579.235518103
42,,36637.09265184138,63413356.906902745,39761757.311688595
43,,1517.059531905669,20226660.572939377,37016706.60273688
44,,56685.58908378045,10614470.687363455,137429206.70033967
45,,3051.3201014662804,96935649.45190391,5776492.53044819
46,,10416.537008092402,56566682.33112008,39761757.311688595
47,,1795.2020279964831,112109346.05471343,173125735.91195327
48,,3305.38669146682,94074207.17364061,8519611.964905042
49,,31586.593798248763,70192126.3794439,37016706.60273688
50,,7905.557337080653,111980226.01329088,35272495.61711731
51,,4468.56129138418,117376846.16548638,54966942.59059348
52,,166767.96134672585,71567735.05469546,35272495.61711731
53,,447878.2059227276,18107447.55420732,8004848.084359322
54,,4613.096857046362,36367933.29393199,45524995.7410422
55,,119100.69435035341,176023208.45664787,49124333.92430067
56,,8073.875842738498,19062318.54907131,27536294.30646331
57,,5270.967617069101,30903208.029532332,9834831.041563045
58,,8112.441027760372,56566682.33112008,8414973.821889048
59,,1289.5472962891577,37765127.09533962,24616270.49172081
60,,53960.09688615935,10333983.5798442,35017940.89643825
61,,6356.070871782123,182046948.70362246,16844885.288453054
62,,29961.530900684662,145095692.1297714,33165708.322295547
63,,14737.631528715516,13202309.398241831,173125735.91195327
64,,14532.415431368972,56253539.81129322,39238029.74653916
65,,4772296.47188093,10182212.369943874,10126337.168395763
66,,132754.9409911543,24507122.471641902,69024011.30571172
67,,1008.3779514253977,49294599.865339555,9123083.759566253
68,,15556.539531021981,251052412.97277072,29147746.085014064
69,,2819.708437575616,6275946.3619097015,9443340.618110273
70,,13544.35622190128,17765956.03562378,33088766.030751396
71,,386658.10318751616,10667594.189927867,11064074.480484618
72,,79479.62924206616,7520692.09822733,49124333.92430067
73,,2521.2945345217577,13967138.7210355,24518033.316058803
74,,9449.498055338705,79932811.6795865,33088766.030751396
75,,33289.003130714846,29777610.997296397,211424615.7304536
76,,8134.749811405735,175106599.17471385,137429206.70033967
77,,254383.44371633168,124589596.08096103,55409087.29946819
78,,33731.44093432046,260514979.7271597,8175289.414736332
79,,4377.273419865317,18193022.353718426,211424615.7304536
80,,1276734.3607259686,9152547.513509423,8543238.224276252
81,,692511.3610359905,104262082.28277571,8543238.224276252
82,,1281.2671735903482,267399198.96645337,29147746.085014064
83,,16803.674078609634,20953094.570098132,173125735.91195327
84,,158766.14349049883,141426920.19293818,9780959.645998314
85,,196022.82876908506,34416765.44845739,9834831.041563045
86,,14321.130167442752,96125451.17364894,32119243.415830094
87,,29528.285457328984,96125451.17364894,6430620.909642672
88,,483189.78269491595,20226660.572939377,11878891.964352021
89,,40976.43823806817,14104695.750115493,8414973.821889048
90,,1057.607155718468,141426920.19293818,28576337.85732809
91,,6195459.1774233,21143332.925432503,35272495.61711731
92,,27138.838855379465,9105027.509628957,119351962.19256246
93,,12524.396298275875,81240643.74844562,9123083.759566253
94,,4926.712303307304,128479415.5186931,28576337.85732809
95,,1282.0819554448806,105759335.87304126,69024011.30571172
96,,2180.620214500322,46397641.9525195,83612588.64945999
97,,30503.89204203396,37517962.97063178,35017940.89643825
98,,4810.124412473297,260514979.7271597,8543238.224276252
99,,1073309.734889945,108686614.96699928,100942879.43053743
100,,869.3181236603294,39716846.37829746,8543238.224276252
