run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
1,43,100,105,205,1.9023000999586657,0.009279512682725198,42.53608285065498,37.06032793713423,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,115,30,109
2,44,100,19,119,1.6423073000041768,0.013800901680707368,49.31210560781284,55.087000956784884,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,62,178,14
3,45,100,22,122,1.6740775000071153,0.013721946721369798,43.22150754413302,49.26559993717651,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,51,25
4,46,100,40,140,1.48594869999215,0.010613919285658215,56.10847289869794,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,100,133,21
5,47,100,66,166,1.855054600047879,0.011175027711131802,41.445163595478945,37.060327937112945,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,109,30,115
6,48,100,14,114,1.4503590000094846,0.012722447368504251,55.48502832852702,52.88679713734268,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,24,32,198
7,49,100,21,121,1.8247475000098348,0.01508055785132095,39.94261155217056,52.47626517754871,3,"0,1,2",183,71,0.2795275590551181,23,127,0.5,False,23,104,127
8,50,100,36,136,1.8407387000042945,0.013534843382384518,44.737931976782164,52.42686747297584,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,100,21,133
9,51,100,34,134,2.030576700111851,0.015153557463521277,46.52859167668868,52.67248607508441,3,"0,1,2",181,73,0.2874015748031496,21,130,0.5118110236220472,False,130,103,21
10,52,100,23,123,1.891066399984993,0.015374523577113764,42.30619355759603,52.88679713734268,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,24,32,198
11,53,100,19,119,1.5535533999791369,0.013055070588059974,54.05151264990336,49.265599937174734,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
