Tahun,Provinsi,u_cluster_0,u_cluster_1,u_cluster_2,label,region_type,n_active_clusters
2019,Aceh,0.0,1.0,0.0,1,lower,1
2019,Bali,0.5142305146552081,0.0,0.4857694853447921,0,boundary,2
2019,Banten,0.49849445524495717,0.0,0.5015055447550427,2,boundary,2
2019,Bengkulu,0.5122402950684698,0.0,0.4877597049315301,0,boundary,2
2019,DKI Jakarta,0.4987552420862053,0.0,0.5012447579137949,2,boundary,2
2019,Daerah Istimewa Yogyakarta,0.47441380639941905,0.0,0.5255861936005809,2,boundary,2
2019,Gorontalo,0.5186593528729554,0.0,0.48134064712704455,0,boundary,2
2019,Jambi,0.5271005959508384,0.0,0.4728994040491617,0,boundary,2
2019,Jawa Barat,0.49078118678130955,0.0,0.5092188132186904,2,boundary,2
2019,Jawa Tengah,0.44573130188622656,0.0,0.5542686981137734,2,boundary,2
2019,Jawa Timur,0.44454949029674923,0.0,0.5554505097032508,2,boundary,2
2019,Kalimantan Barat,0.5096054900268027,0.0,0.4903945099731973,0,boundary,2
2019,Kalimantan Selatan,0.4551951707628784,0.0,0.5448048292371216,2,boundary,2
2019,Kalimantan Tengah,0.466267185927932,0.0,0.5337328140720681,2,boundary,2
2019,Kalimantan Timur,0.45375353643107474,0.0,0.5462464635689253,2,boundary,2
2019,Kalimantan Utara,0.4844156603467165,0.0,0.5155843396532835,2,boundary,2
2019,Kepulauan Bangka Belitung,0.32301019058500113,0.37911845571190433,0.29787135370309453,1,boundary,3
2019,Kepulauan Riau,0.5429419117957021,0.0,0.45705808820429794,0,boundary,2
2019,Lampung,0.4974840178778094,0.0,0.5025159821221906,2,boundary,2
2019,Maluku,0.5509297929404557,0.0,0.4490702070595443,0,boundary,2
2019,Maluku Utara,0.5116810649448029,0.0,0.48831893505519713,0,boundary,2
2019,Nusa Tenggara Barat,0.49449560276746496,0.0,0.5055043972325349,2,boundary,2
2019,Nusa Tenggara Timur,0.5577816054935424,0.0,0.44221839450645756,0,boundary,2
2019,Papua,0.3520542399257902,0.314897618811785,0.33304814126242477,0,boundary,3
2019,Papua Barat,0.34191737509639347,0.3244776262768144,0.33360499862679205,0,boundary,3
2019,Riau,0.5124770398262791,0.0,0.48752296017372093,0,boundary,2
2019,Sulawesi Barat,0.4835703109377468,0.0,0.5164296890622532,2,boundary,2
2019,Sulawesi Selatan,0.500834801372869,0.0,0.499165198627131,0,boundary,2
2019,Sulawesi Tengah,0.5367979273439022,0.0,0.463202072656098,0,boundary,2
2019,Sulawesi Tenggara,0.5160451874587378,0.0,0.48395481254126227,0,boundary,2
2019,Sulawesi Utara,0.5003422976049327,0.0,0.49965770239506724,0,boundary,2
2019,Sumatera Barat,0.46240771790583246,0.0,0.5375922820941677,2,boundary,2
2019,Sumatera Selatan,0.4839704254448429,0.0,0.5160295745551571,2,boundary,2
2019,Sumatera Utara,0.5295605785493147,0.0,0.4704394214506853,0,boundary,2
2020,Aceh,0.0,1.0,0.0,1,lower,1
2020,Bali,0.511677513547616,0.0,0.4883224864523839,0,boundary,2
2020,Banten,0.4973394181672176,0.0,0.5026605818327825,2,boundary,2
2020,Bengkulu,0.46346391457010655,0.0,0.5365360854298935,2,boundary,2
2020,DKI Jakarta,0.4960467997217145,0.0,0.5039532002782856,2,boundary,2
2020,Daerah Istimewa Yogyakarta,0.4687089135308441,0.0,0.5312910864691559,2,boundary,2
2020,Gorontalo,0.45832752184475867,0.0,0.5416724781552413,2,boundary,2
2020,Jambi,0.5355703632406986,0.0,0.4644296367593015,0,boundary,2
