run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
1,43,500,0.5681161999236792,0.0011362323998473584,20.143407882095225,4,"0,1,2,3",1,77,127,49
2,44,500,0.5496943000471219,0.0010993886000942438,20.143410565992966,4,"0,1,2,3",48,127,77,2
3,45,500,0.551869000075385,0.00110373800015077,20.143410927024316,4,"0,1,2,3",127,77,48,2
4,46,500,0.579592699999921,0.0011591853999998421,20.14340926915983,4,"0,1,2,3",77,127,1,49
5,47,500,0.554060299997218,0.0011081205999944358,20.1434107886153,4,"0,1,2,3",48,2,127,77
6,48,500,0.5504006000701338,0.0011008012001402676,20.143410333040457,4,"0,1,2,3",1,49,77,127
7,49,500,0.5483602000167593,0.0010967204000335187,20.14341022182694,4,"0,1,2,3",127,1,49,77
8,50,500,0.5559863999951631,0.001111972799990326,20.143404958509507,3,"0,1,3",50,127,0,77
9,51,500,0.5547525000292808,0.0011095050000585617,20.143408466404466,4,"0,1,2,3",127,49,1,77
10,52,500,0.5559130000183359,0.0011118260000366718,20.14340949778743,4,"0,1,2,3",127,77,49,1
11,53,500,0.5568608000176027,0.0011137216000352056,20.143404969188758,3,"0,2,3",127,0,50,77
12,54,500,0.5547475999919698,0.0011094951999839396,20.143411390330414,4,"0,1,2,3",127,77,48,2
13,55,500,0.5481500999303535,0.001096300199860707,20.143408728126637,4,"0,1,2,3",49,127,1,77
14,56,500,0.5594365999568254,0.0011188731999136508,20.143404675371922,3,"0,2,3",77,0,127,50
15,57,500,0.5485216000815853,0.0010970432001631708,20.143404535918176,3,"0,2,3",127,0,50,77
16,58,500,0.5508932999800891,0.001101786599960178,20.143408522344636,4,"0,1,2,3",1,77,127,49
17,59,500,0.5504302999470383,0.0011008605998940766,20.14340955499326,4,"0,1,2,3",127,77,49,1
18,60,500,0.5444195000454783,0.0010888390000909566,20.143411523243525,4,"0,1,2,3",2,127,48,77
19,61,500,0.5878120000706986,0.0011756240001413972,20.143407281489075,4,"0,1,2,3",127,49,77,1
20,62,500,0.5750597999431193,0.0011501195998862386,20.143410435411905,4,"0,1,2,3",2,77,48,127
21,63,500,0.5816733000101522,0.0011633466000203043,20.143408226214817,4,"0,1,2,3",49,77,1,127
22,64,500,0.5872609000653028,0.0011745218001306056,20.14340955785243,4,"0,1,2,3",1,127,49,77
23,65,500,0.5587387999985367,0.0011174775999970735,20.143406109152803,3,"0,1,2",77,50,127,0
24,66,500,0.5761515999911353,0.0011523031999822707,20.143411493185504,4,"0,1,2,3",77,2,48,127
25,67,500,0.5660079000517726,0.0011320158001035452,20.143410698681844,4,"0,1,2,3",48,77,2,127
26,68,500,0.5545185999944806,0.0011090371999889612,20.14340658847493,4,"0,1,2,3",77,49,127,1
27,69,500,0.5569729000562802,0.0011139458001125605,20.143406348345458,3,"1,2,3",0,77,127,50
28,70,500,0.5617670000065118,0.0011235340000130237,20.14341124998778,4,"0,1,2,3",2,127,48,77
29,71,500,0.5546558999922127,0.0011093117999844253,20.14341129804943,4,"0,1,2,3",48,127,77,2
30,72,500,0.5796654999721795,0.0011593309999443592,20.143411453099972,4,"0,1,2,3",77,127,2,48
31,73,500,0.5826391000300646,0.0011652782000601291,20.143404868720076,3,"0,1,2",50,77,127,0
32,74,500,0.5588188000256196,0.001117637600051239,20.143407258954973,4,"0,1,2,3",77,1,49,127
33,75,500,0.5840378999710083,0.0011680757999420167,20.143404146584192,3,"1,2,3",0,50,77,127
34,76,500,0.5570788000477478,0.0011141576000954956,20.14340532932463,3,"0,1,3",77,127,0,50
35,77,500,0.556120099965483,0.001112240199930966,20.143410906088846,4,"0,1,2,3",127,2,77,48
36,78,500,0.5545028999913484,0.0011090057999826968,20.14340663652186,4,"0,1,2,3",127,77,49,1
37,79,500,0.5626698000123724,0.0011253396000247449,20.143404299659412,3,"0,1,3",50,77,0,127
38,80,500,0.5566455000080168,0.0011132910000160336,20.143405561803,3,"0,1,3",77,127,0,50
39,81,500,0.5548089999938384,0.0011096179999876767,20.14340346412734,3,"0,2,3",77,0,127,50
40,82,500,0.5551023000152782,0.0011102046000305563,20.143411207140524,4,"0,1,2,3",77,127,2,48
41,83,500,0.5523632999975234,0.0011047265999950468,20.14341122057752,4,"0,1,2,3",48,77,127,2
42,84,500,0.5506775999674574,0.0011013551999349148,20.143411640286647,4,"0,1,2,3",48,77,127,2
43,85,500,0.5543501999927685,0.0011087003999855369,20.1434058164809,3,"1,2,3",0,127,50,77
44,86,500,0.5634888999629766,0.001126977799925953,20.143410894201686,4,"0,1,2,3",48,2,77,127
45,87,500,0.5531275999965146,0.0011062551999930293,20.143404025829067,3,"0,1,3",50,127,0,77
46,88,500,0.5559547999873757,0.0011119095999747514,20.143409561381795,4,"0,1,2,3",127,1,49,77
47,89,500,0.5640753000043333,0.0011281506000086665,20.14340678476446,4,"0,1,2,3",49,1,77,127
48,90,500,0.5640614000149071,0.0011281228000298142,20.143408114435683,4,"0,1,2,3",77,1,127,49
49,91,500,0.5625822000438347,0.0011251644000876695,20.14341228416534,4,"0,1,2,3",77,127,2,48
50,92,500,0.556436299928464,0.001112872599856928,20.143409687112438,4,"0,1,2,3",127,77,49,1
51,93,500,0.5534121000673622,0.0011068242001347243,20.143409695666982,4,"0,1,2,3",49,1,77,127
52,94,500,0.5633126999018714,0.0011266253998037429,20.14341164106088,4,"0,1,2,3",127,2,48,77
53,95,500,0.5550154000520706,0.0011100308001041413,20.14341149163198,4,"0,1,2,3",77,2,127,48
54,96,500,0.5507107999874279,0.0011014215999748558,20.14341062245187,4,"0,1,2,3",2,48,77,127
55,97,500,0.5545195000013337,0.0011090390000026674,20.14341088140186,4,"0,1,2,3",127,48,77,2
56,98,500,0.5559958000667393,0.0011119916001334786,20.143409844431105,4,"0,1,2,3",1,77,127,49
57,99,500,0.5591017999686301,0.0011182035999372601,20.14340701244303,4,"0,1,2,3",127,77,49,1
58,100,500,0.5559789000544697,0.0011119578001089394,20.14340936140718,4,"0,1,2,3",77,49,127,1
59,101,500,0.5571791999973357,0.0011143583999946713,20.143404222455445,3,"1,2,3",0,127,77,50
60,102,500,0.5603590999962762,0.0011207181999925524,20.143411185419275,4,"0,1,2,3",127,48,2,77
61,103,500,0.5513292000396177,0.0011026584000792354,20.14340838925827,4,"0,1,2,3",77,127,49,1
62,104,500,0.5598063999786973,0.0011196127999573947,20.143409829008355,4,"0,1,2,3",77,1,127,49
63,105,500,0.5601337999105453,0.0011202675998210907,20.14340934702983,4,"0,1,2,3",1,77,127,49
64,106,500,0.562751799938269,0.001125503599876538,20.143403924161312,3,"1,2,3",0,77,127,50
65,107,500,0.5581934000365436,0.0011163868000730872,20.143411678928764,4,"0,1,2,3",77,2,127,48
66,108,500,0.5488554999465123,0.0010977109998930245,20.143412052545237,4,"0,1,2,3",48,127,77,2
67,109,500,0.5538598999846727,0.0011077197999693454,20.14340441348162,3,"1,2,3",0,50,77,127
68,110,500,0.5558465999783948,0.0011116931999567896,20.143410616205614,4,"0,1,2,3",77,48,2,127
69,111,500,0.5549596000928432,0.0011099192001856864,20.143408387247373,4,"0,1,2,3",1,77,127,49
70,112,500,0.5569255000445992,0.0011138510000891983,20.14340816660778,4,"0,1,2,3",77,49,1,127
71,113,500,0.6022771999705583,0.0012045543999411165,20.143410029150516,4,"0,1,2,3",77,1,127,49
72,114,500,0.5572699001058936,0.0011145398002117871,20.143408777639134,4,"0,1,2,3",1,127,77,49
73,115,500,0.5573386000469327,0.0011146772000938654,20.143407458007175,4,"0,1,2,3",49,77,1,127
74,116,500,0.5535515000810847,0.0011071030001621692,20.143409914239577,4,"0,1,2,3",127,1,77,49
75,117,500,0.565980700077489,0.001131961400154978,20.1434105644484,4,"0,1,2,3",2,48,77,127
76,118,500,0.5569813000038266,0.0011139626000076532,20.14340944530977,4,"0,1,2,3",49,77,127,1
77,119,500,0.5570242999820039,0.0011140485999640078,20.143411527120634,4,"0,1,2,3",2,77,127,48
78,120,500,0.562290700036101,0.001124581400072202,20.143410755561092,4,"0,1,2,3",48,2,127,77
79,121,500,0.5489092000061646,0.0010978184000123292,20.143409078990377,4,"0,1,2,3",1,77,127,49
80,122,500,0.5479463000083342,0.0010958926000166685,20.14340740296295,4,"0,1,2,3",77,1,49,127
81,123,500,0.5515403999015689,0.0011030807998031378,20.143404492461393,3,"0,1,2",127,77,50,0
82,124,500,0.554373599938117,0.001108747199876234,20.143404300597506,3,"0,1,3",127,50,0,77
83,125,500,0.5548355999635532,0.0011096711999271066,20.143410839322776,4,"0,1,2,3",48,2,77,127
84,126,500,0.5527029999066144,0.0011054059998132288,20.143411005698653,4,"0,1,2,3",127,77,2,48
85,127,500,0.5558961000060663,0.0011117922000121326,20.143411620055957,4,"0,1,2,3",127,77,48,2
86,128,500,0.5898182999808341,0.0011796365999616682,20.14340840245102,4,"0,1,2,3",127,77,1,49
87,129,500,0.5767488999990746,0.0011534977999981492,20.143410293619905,4,"0,1,2,3",49,1,127,77
88,130,448,0.5055976000148803,0.0011285660714617865,20.143403232682957,3,"0,1,2",77,50,127,0
