run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
1,43,200,0.229356300085783,0.001146781500428915,20.143424559842956,4,"0,1,2,3",7,77,126,44
2,44,200,0.21839009993709624,0.001091950499685481,20.143436764311836,4,"0,1,2,3",43,126,77,8
3,45,200,0.23235369997564703,0.0011617684998782352,20.14343931678449,4,"0,1,2,3",126,77,43,8
4,46,200,0.21839819999877363,0.0010919909999938682,20.14343035521066,4,"0,1,2,3",77,126,8,43
5,47,200,0.22011519991792738,0.0011005759995896369,20.1434380275055,4,"0,1,2,3",43,8,126,77
6,48,200,0.22083009989000857,0.0011041504994500429,20.143435324932216,4,"0,1,2,3",8,43,77,126
7,49,200,0.2211022999836132,0.001105511499918066,20.143435076039808,4,"0,1,2,3",126,8,43,77
8,50,200,0.2194407000206411,0.0010972035001032055,20.143415604896312,4,"0,1,2,3",48,126,3,77
9,51,200,0.22067250008694828,0.0011033625004347415,20.14343099497625,4,"0,1,2,3",126,43,8,77
10,52,200,0.2221580999903381,0.0011107904999516905,20.143434702117798,4,"0,1,2,3",126,77,43,8
11,53,200,0.21860009990632534,0.0010930004995316268,20.143418751138324,4,"0,1,2,3",126,3,48,77
12,54,200,0.2381527000106871,0.0011907635000534356,20.14344225496265,4,"0,1,2,3",126,77,43,8
13,55,200,0.21931359998416156,0.0010965679999208077,20.143429242354884,4,"0,1,2,3",43,126,8,77
14,56,200,0.2187675000168383,0.0010938375000841916,20.14341095323696,4,"0,1,2,3",77,2,127,48
15,57,200,0.21832490002270788,0.0010916245001135394,20.143410006475467,4,"0,1,2,3",127,1,49,77
16,58,200,0.21905970002990216,0.0010952985001495108,20.143430077587013,4,"0,1,2,3",8,77,126,43
17,59,200,0.2184387999586761,0.0010921939997933804,20.14343169923204,4,"0,1,2,3",126,77,43,8
18,60,200,0.22026139998342842,0.0011013069999171422,20.143442904361677,4,"0,1,2,3",8,126,43,77
19,61,200,0.21789710002485663,0.0010894855001242832,20.143425148136302,4,"0,1,2,3",126,44,77,7
20,62,200,0.21847119997255504,0.0010923559998627752,20.143436467748714,4,"0,1,2,3",8,77,43,126
