run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
1,43,30,0.029449400026351213,0.0009816466675450404,48.37621476418866,4,"0,1,2,3",173,81,1.3188976377952757,0.3188976377952756,0.5078740157480315,6,129,6,129,19,100,False
2,44,47,0.0469296999508515,0.0009985042542734362,45.373247586268405,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,35,181,13,False
3,45,22,0.020590400090441108,0.0009359272768382322,49.48491554217311,4,"0,1,2,3",231,23,1.0905511811023623,0.09055118110236221,0.7677165354330708,5,195,22,5,32,195,False
4,46,16,0.016432999982498586,0.0010270624989061616,45.726756113948426,4,"0,1,2,3",189,65,1.2598425196850394,0.2559055118110236,0.5551181102362205,10,141,141,83,20,10,False
5,47,19,0.018553099944256246,0.0009764789444345393,48.25040402103967,4,"0,1,2,3",215,39,1.1574803149606299,0.15354330708661418,0.7125984251968503,4,181,181,4,45,24,False
6,48,17,0.0170263999607414,0.0010015529388671413,45.37324758626845,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,181,25,13,35,False
7,49,19,0.01825630001258105,0.0009608578953990026,43.96565657571047,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,13,47,169,False
8,50,19,0.019125399994663894,0.0010065999997191522,43.96565657571047,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,13,47,169,False
9,51,21,0.021533199935220182,0.001025390473105723,43.96565657571044,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,169,13,47,25,False
10,52,16,0.01474650006275624,0.000921656253922265,51.81580265351303,4,"0,1,2,3",230,24,1.0984251968503937,0.09448818897637795,0.7755905511811023,1,197,32,1,24,197,False
11,53,18,0.01859699992928654,0.0010331666627381411,48.25371850028668,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.7086614173228346,5,180,180,14,55,5,False
12,54,20,0.020775399985723197,0.0010387699992861598,44.48683651337216,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,75,21,137,21,False
13,55,17,0.018100099987350404,0.0010647117639617884,43.59226553591627,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5275590551181102,20,134,20,134,23,77,False
14,56,21,0.019430399988777936,0.0009252571423227588,54.04700338005139,4,"0,1,2,3",224,30,1.1181102362204725,0.11811023622047244,0.7952755905511811,2,202,46,4,202,2,False
15,57,15,0.01595280005130917,0.0010635200034206113,44.50077038382079,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,76,23,135,False
16,58,15,0.015641000005416572,0.001042733333694438,44.500770383821376,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,20,76,False
17,59,22,0.021525699994526803,0.0009784409088421273,43.96565657571047,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,47,25,13,169,False
