iterasi,objective_value
1,51.946408414973334
2,36.211214217751646
3,39.519166986970816
4,41.1879348962523
5,40.62451746306597
6,39.87184031077344
7,43.82244904437007
8,45.80133705494063
9,46.66350689507891
10,46.71542331364778
11,46.63656765444918
12,46.16078582874789
13,46.25028637249659
14,46.40466829953519
15,46.38813122379803
16,46.362481068170666
17,46.771047756374884
18,46.14443502520541
19,46.00011653524527
20,46.37596047722469
21,45.7156704708306
22,45.28530571873703
23,46.03542413802146
24,45.84634443548834
25,45.311198822520254
26,45.16594039014928
27,45.23119313494262
28,45.50992563758035
29,45.3749740127838
30,45.37326584358965
31,45.373247879875684
32,45.37324759110457
33,45.373247586348306
34,45.37324758626971
