run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
1,43,13,0.0009781999979168177,7.524615368590906e-05,4,"0,1,2,3",20,134,2,98
2,44,10,0.0007027999963611364,7.027999963611364e-05,4,"0,1,2,3",124,22,84,24
3,45,15,0.0009352000197395682,6.234666798263789e-05,4,"0,1,2,3",153,5,66,30
4,46,6,0.0005221000174060464,8.70166695676744e-05,4,"0,1,2,3",134,99,11,10
5,47,7,0.0005471999756991863,7.817142509988375e-05,4,"0,1,2,3",157,3,69,25
6,48,10,0.0007209000177681446,7.209000177681446e-05,4,"0,1,2,3",83,22,128,21
7,49,8,0.0006709999870508909,8.387499838136137e-05,4,"0,1,2,3",25,14,67,148
8,50,10,0.001445900066755712,0.0001445900066755712,4,"0,1,2,3",22,14,66,152
9,51,7,0.0006923000328242779,9.890000468918256e-05,4,"0,1,2,3",121,84,42,7
10,52,9,0.000708600040525198,7.873333783613311e-05,4,"0,1,2,3",33,1,27,193
11,53,6,0.0004904000088572502,8.17333348095417e-05,4,"0,1,2,3",181,9,59,5
12,54,17,0.0011374999303370714,6.691176060806302e-05,4,"0,1,2,3",84,22,125,23
13,55,8,0.0005375000182539225,6.718750228174031e-05,4,"0,1,2,3",57,141,27,29
14,56,15,0.0011425999691709876,7.617333127806584e-05,4,"0,1,2,3",59,4,189,2
15,57,8,0.0015559999737888575,0.00019449999672360718,4,"0,1,2,3",18,59,4,173
16,58,7,0.0005945999873802066,8.494285534002952e-05,4,"0,1,2,3",124,24,21,85
17,59,9,0.0005871000466868281,6.523333852075868e-05,4,"0,1,2,3",66,24,14,150
18,60,18,0.0010995999909937382,6.1088888388541e-05,4,"0,1,2,3",156,59,25,14
19,61,9,0.0006846999749541283,7.607777499490314e-05,4,"0,1,2,3",14,25,154,61
20,62,18,0.001600499963387847,8.891666463265817e-05,4,"0,1,2,3",60,25,155,14
21,63,8,0.0008530999766662717,0.00010663749708328396,4,"0,1,2,3",28,14,174,38
22,64,5,0.0005406000418588519,0.00010812000837177039,4,"0,1,2,3",90,15,133,16
23,65,16,0.0009872999507933855,6.17062469245866e-05,4,"0,1,2,3",14,28,38,174
24,66,21,0.0011532999342307448,5.4919044487178326e-05,4,"0,1,2,3",106,124,23,1
25,67,12,0.0008357999613508582,6.964999677923818e-05,4,"0,1,2,3",67,14,151,22
26,68,7,0.0006076000863686204,8.680001233837434e-05,4,"0,1,2,3",22,14,103,115
27,69,8,0.001355700078420341,0.00016946250980254263,4,"0,1,2,3",22,126,22,84
28,70,13,0.0008970999624580145,6.900768941984727e-05,4,"0,1,2,3",23,70,26,135
29,71,25,0.0013906999956816435,5.562799982726574e-05,4,"0,1,2,3",14,37,28,175
30,72,9,0.0007353000110015273,8.170000122239192e-05,4,"0,1,2,3",14,26,60,154
31,73,8,0.000584700028412044,7.30875035515055e-05,4,"0,1,2,3",132,76,25,21
32,74,9,0.0036579000297933817,0.0004064333366437091,4,"0,1,2,3",134,25,73,22
33,75,7,0.0005641999887302518,8.059999839003597e-05,4,"0,1,2,3",180,7,65,2
34,76,15,0.0010177999502047896,6.785333001365264e-05,4,"0,1,2,3",24,156,14,60
35,77,9,0.0006472000386565924,7.191111540628804e-05,4,"0,1,2,3",151,14,26,63
36,78,16,0.0012243000091984868,7.651875057490543e-05,4,"0,1,2,3",164,14,51,25
37,79,10,0.000959400087594986,9.59400087594986e-05,4,"0,1,2,3",154,26,60,14
38,80,9,0.0006269000004976988,6.965555561085542e-05,4,"0,1,2,3",132,2,98,22
39,81,9,0.0006433000089600682,7.147777877334092e-05,4,"0,1,2,3",84,23,22,125
40,82,7,0.0005978000117465854,8.540000167808362e-05,4,"0,1,2,3",40,174,26,14
41,83,13,0.0008119998965412378,6.246153050317214e-05,4,"0,1,2,3",22,23,81,128
42,84,6,0.00044430000707507133,7.405000117917855e-05,4,"0,1,2,3",32,15,179,28
43,85,21,0.0017383999656885862,8.278095074707554e-05,4,"0,1,2,3",77,131,25,21
44,86,11,0.0008611000375822186,7.828182159838352e-05,4,"0,1,2,3",132,25,79,18
45,87,9,0.0006449000211432576,7.16555579048064e-05,4,"0,1,2,3",73,24,155,2
46,88,5,0.0004191999323666096,8.383998647332191e-05,4,"0,1,2,3",18,126,86,24
47,89,8,0.0005922999698668718,7.403749623335898e-05,4,"0,1,2,3",25,66,149,14
48,90,8,0.0005629999795928597,7.037499744910747e-05,4,"0,1,2,3",3,191,27,33
49,91,11,0.0011735999723896384,0.00010669090658087622,4,"0,1,2,3",103,14,115,22
50,92,11,0.0015360000543296337,0.00013963636857542124,4,"0,1,2,3",21,24,85,124
51,93,8,0.00055720005184412,6.9650006480515e-05,4,"0,1,2,3",26,63,151,14
52,94,17,0.0010168999433517456,5.9817643726573274e-05,4,"0,1,2,3",75,132,25,22
53,95,17,0.0012372999917715788,7.278235245715169e-05,4,"0,1,2,3",14,155,25,60
54,96,11,0.0008839999791234732,8.036363446577029e-05,4,"0,1,2,3",125,22,23,84
55,97,19,0.0013822000473737717,7.274737091440904e-05,4,"0,1,2,3",18,140,15,81
56,98,18,0.0012526999926194549,6.959444403441416e-05,4,"0,1,2,3",79,132,18,25
57,99,12,0.0009201000211760402,7.667500176467001e-05,4,"0,1,2,3",25,134,73,22
58,100,11,0.0009877999546006322,8.979999587278475e-05,4,"0,1,2,3",21,126,83,24
