combo_id,run,N_FIREFLIES,MAX_ITER_FA,ALPHA0,THETA,BETA0,GAMMA,seed,refine_iter,final_objective,max_cluster_ratio,boundary_ratio,is_imbalanced
1,1,20,100,1.0,0.95,0.5,0.1,43,29,48.376214764188674,0.5078740157480315,0.3188976377952756,False
1,2,20,100,1.0,0.95,0.5,0.1,44,49,45.37324758626835,0.7125984251968503,0.10236220472440945,False
1,3,20,100,1.0,0.95,0.5,0.1,45,104,34.890504173527404,0.468503937007874,0.8779527559055118,False
1,4,20,100,1.0,0.95,0.5,0.1,46,20,44.46374717687906,0.5354330708661418,0.24015748031496062,False
1,5,20,100,1.0,0.95,0.5,0.1,47,18,48.25040402103967,0.7125984251968503,0.15354330708661418,False
2,1,20,100,1.0,0.95,0.5,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
2,2,20,100,1.0,0.95,0.5,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
2,3,20,100,1.0,0.95,0.5,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
2,4,20,100,1.0,0.95,0.5,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
2,5,20,100,1.0,0.95,0.5,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
3,1,20,100,1.0,0.95,0.5,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
3,2,20,100,1.0,0.95,0.5,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
3,3,20,100,1.0,0.95,0.5,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
3,4,20,100,1.0,0.95,0.5,1.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
3,5,20,100,1.0,0.95,0.5,1.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
4,1,20,100,1.0,0.95,0.5,2.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
4,2,20,100,1.0,0.95,0.5,2.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
4,3,20,100,1.0,0.95,0.5,2.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
4,4,20,100,1.0,0.95,0.5,2.0,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
4,5,20,100,1.0,0.95,0.5,2.0,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
5,1,20,100,1.0,0.95,1.0,0.1,43,67,34.67392064896474,0.3858267716535433,0.8031496062992126,False
5,2,20,100,1.0,0.95,1.0,0.1,44,30,44.32715703950973,0.5354330708661418,0.2440944881889764,False
5,3,20,100,1.0,0.95,1.0,0.1,45,15,49.472191472983,0.7598425196850394,0.0984251968503937,False
5,4,20,100,1.0,0.95,1.0,0.1,46,72,44.27767249441295,0.5393700787401575,0.2440944881889764,False
5,5,20,100,1.0,0.95,1.0,0.1,47,17,48.25040402103964,0.7125984251968503,0.15354330708661418,False
6,1,20,100,1.0,0.95,1.0,0.5,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
6,2,20,100,1.0,0.95,1.0,0.5,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
6,3,20,100,1.0,0.95,1.0,0.5,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
6,4,20,100,1.0,0.95,1.0,0.5,46,16,45.72675611394918,0.5551181102362205,0.2559055118110236,False
6,5,20,100,1.0,0.95,1.0,0.5,47,18,48.250404021039714,0.7125984251968503,0.15354330708661418,False
7,1,20,100,1.0,0.95,1.0,1.0,43,28,48.37621476418868,0.5078740157480315,0.3188976377952756,False
7,2,20,100,1.0,0.95,1.0,1.0,44,48,45.37324758626835,0.7125984251968503,0.10236220472440945,False
7,3,20,100,1.0,0.95,1.0,1.0,45,17,49.47219147298283,0.7598425196850394,0.0984251968503937,False
