Run,K-Means,FCM,FRCM,FA-FRCM
1,3.0,1.0,4.0,2.0
2,3.0,1.0,2.0,4.0
3,4.0,1.0,2.0,3.0
4,4.0,1.0,2.0,3.0
5,3.0,1.0,2.0,4.0
6,3.0,1.0,2.0,4.0
7,3.0,1.0,2.0,4.0
8,3.0,1.0,2.0,4.0
9,4.0,1.0,2.0,3.0
10,4.0,1.0,2.0,3.0
11,4.0,1.0,3.0,2.0
12,3.0,1.0,2.0,4.0
13,4.0,1.0,2.0,3.0
14,4.0,1.0,3.0,2.0
15,4.0,1.0,2.0,3.0
16,3.0,1.0,2.0,4.0
17,3.0,1.0,2.0,4.0
18,3.0,1.0,2.0,4.0
19,3.0,1.0,2.0,4.0
20,3.0,1.0,2.0,4.0
21,4.0,1.0,2.0,3.0
22,4.0,1.0,2.0,3.0
23,3.0,1.0,2.0,4.0
24,4.0,1.0,2.0,3.0
25,2.0,1.0,4.0,3.0
26,3.0,1.0,4.0,2.0
27,2.0,1.0,4.0,3.0
28,3.0,1.0,2.0,4.0
29,4.0,1.0,2.0,3.0
30,3.0,1.0,2.0,4.0
31,3.0,1.0,2.0,4.0
32,2.0,1.0,3.0,4.0
33,2.0,1.0,4.0,3.0
34,3.0,1.0,2.0,4.0
35,2.0,1.0,4.0,3.0
36,3.0,1.0,2.0,4.0
37,3.0,1.0,2.0,4.0
38,4.0,1.0,3.0,2.0
39,3.0,1.0,2.0,4.0
40,3.0,1.0,2.0,4.0
41,3.0,1.0,2.0,4.0
42,3.0,1.0,2.0,4.0
43,3.0,1.0,2.0,4.0
44,3.0,1.0,2.0,4.0
45,3.0,1.0,2.0,4.0
46,3.0,1.0,2.0,4.0
47,3.0,1.0,2.0,4.0
48,3.0,1.0,4.0,2.0
49,4.0,1.0,2.0,3.0
50,3.0,1.0,2.0,4.0
51,3.0,1.0,2.0,4.0
52,3.0,1.0,2.0,4.0
53,3.0,1.0,2.0,4.0
54,3.0,1.0,2.0,4.0
55,4.0,1.0,2.0,3.0
56,3.0,1.0,2.0,4.0
57,3.0,1.0,2.0,4.0
58,3.0,1.0,2.0,4.0
59,3.0,1.0,2.0,4.0
60,3.0,1.0,2.0,4.0
61,3.0,1.0,2.0,4.0
62,3.0,1.0,2.0,4.0
63,4.0,1.0,2.0,3.0
64,3.0,1.0,2.0,4.0
65,3.0,1.0,2.0,4.0
66,3.0,1.0,2.0,4.0
67,3.0,1.0,2.0,4.0
68,3.0,1.0,2.0,4.0
69,3.0,1.0,2.0,4.0
70,3.0,1.0,2.0,4.0
71,3.0,1.0,4.0,2.0
72,2.0,1.0,3.0,4.0
73,3.0,1.0,2.0,4.0
74,4.0,1.0,2.0,3.0
75,2.0,1.0,4.0,3.0
76,3.0,1.0,2.0,4.0
77,4.0,1.0,2.0,3.0
78,3.0,1.0,2.0,4.0
79,3.0,1.0,2.0,4.0
80,3.0,1.0,2.0,4.0
81,3.0,1.0,2.0,4.0
82,2.0,1.0,4.0,3.0
83,3.0,1.0,2.0,4.0
84,4.0,1.0,2.0,3.0
85,3.0,1.0,2.0,4.0
86,3.0,1.0,2.0,4.0
87,4.0,1.0,2.0,3.0
88,3.0,1.0,2.0,4.0
89,3.0,1.0,2.0,4.0
90,4.0,1.0,2.0,3.0
91,3.0,1.0,2.0,4.0
92,4.0,1.0,2.0,3.0
93,4.0,1.0,2.0,3.0
94,4.0,1.0,2.0,3.0
95,4.0,1.0,2.0,3.0
96,3.0,1.0,2.0,4.0
97,4.0,1.0,2.0,3.0
98,3.0,1.0,2.0,4.0
99,3.0,1.0,2.0,4.0
100,3.0,1.0,2.0,4.0
