Run,K-Means,FCM,FRCM,FA-FRCM
1,2.0,4.0,1.0,3.0
2,3.0,4.0,1.0,2.0
3,3.0,4.0,1.0,2.0
4,2.0,4.0,1.0,3.0
5,2.0,4.0,1.0,3.0
6,3.0,4.0,1.0,2.0
7,2.0,4.0,1.0,3.0
8,2.0,4.0,1.0,3.0
9,3.0,4.0,1.0,2.0
10,3.0,4.0,1.0,2.0
11,2.0,4.0,1.0,3.0
12,3.0,4.0,2.0,1.0
13,3.0,4.0,2.0,1.0
14,3.0,4.0,1.0,2.0
15,2.0,4.0,1.0,3.0
16,3.0,4.0,2.0,1.0
17,3.0,4.0,1.0,2.0
18,1.0,4.0,2.0,3.0
19,2.0,4.0,1.0,3.0
20,1.0,4.0,3.0,2.0
21,1.0,4.0,2.0,3.0
22,3.0,4.0,1.0,2.0
23,1.0,4.0,2.0,3.0
24,3.0,4.0,1.0,2.0
25,3.0,4.0,1.0,2.0
26,1.0,4.0,2.0,3.0
27,1.0,4.0,2.0,3.0
28,2.0,4.0,1.0,3.0
29,2.0,4.0,1.0,3.0
30,2.0,4.0,1.0,3.0
31,3.0,4.0,2.0,1.0
32,3.0,4.0,2.0,1.0
33,1.0,4.0,2.0,3.0
34,2.0,4.0,3.0,1.0
35,1.0,4.0,3.0,2.0
36,1.0,4.0,2.0,3.0
37,1.0,4.0,3.0,2.0
38,3.0,4.0,2.0,1.0
39,3.0,4.0,1.0,2.0
40,1.0,4.0,2.0,3.0
41,3.0,4.0,2.0,1.0
42,2.0,4.0,1.0,3.0
43,3.0,4.0,1.0,2.0
44,2.0,4.0,1.0,3.0
45,2.0,4.0,1.0,3.0
46,2.0,4.0,1.0,3.0
47,3.0,4.0,1.0,2.0
48,1.0,4.0,3.0,2.0
49,3.0,4.0,1.0,2.0
50,2.0,4.0,1.0,3.0
51,2.0,4.0,1.0,3.0
52,2.0,4.0,1.0,3.0
53,2.0,4.0,3.0,1.0
54,3.0,4.0,2.0,1.0
55,2.0,4.0,1.0,3.0
56,2.0,4.0,3.0,1.0
57,2.0,4.0,1.0,3.0
58,2.0,4.0,1.0,3.0
59,2.0,4.0,1.0,3.0
60,1.0,4.0,2.0,3.0
61,2.0,4.0,1.0,3.0
62,1.0,4.0,2.0,3.0
63,2.0,4.0,1.0,3.0
64,2.0,4.0,1.0,3.0
65,2.0,4.0,1.0,3.0
66,3.0,4.0,1.0,2.0
67,3.0,4.0,2.0,1.0
68,3.0,4.0,2.0,1.0
69,2.0,4.0,1.0,3.0
70,2.0,4.0,1.0,3.0
71,3.0,4.0,2.0,1.0
72,2.0,4.0,1.0,3.0
73,2.0,4.0,1.0,3.0
74,2.0,4.0,1.0,3.0
75,2.0,4.0,3.0,1.0
76,2.0,4.0,1.0,3.0
77,2.0,4.0,1.0,3.0
78,3.0,4.0,1.0,2.0
79,3.0,4.0,2.0,1.0
80,3.0,4.0,1.0,2.0
81,3.0,4.0,1.0,2.0
82,2.0,4.0,3.0,1.0
83,3.0,4.0,2.0,1.0
84,2.0,4.0,1.0,3.0
85,2.0,4.0,1.0,3.0
86,2.0,4.0,1.0,3.0
87,3.0,4.0,2.0,1.0
88,3.0,4.0,1.0,2.0
89,1.0,4.0,2.0,3.0
90,3.0,4.0,1.0,2.0
91,2.0,4.0,1.0,3.0
92,3.0,4.0,1.0,2.0
93,3.0,4.0,1.0,2.0
94,3.0,4.0,2.0,1.0
95,2.0,4.0,1.0,3.0
96,2.0,4.0,1.0,3.0
97,2.0,4.0,1.0,3.0
98,2.0,4.0,1.0,3.0
99,3.0,4.0,2.0,1.0
100,3.0,4.0,1.0,2.0
