run,seed,fa_iter,frcm_refine_iter,total_iter_used,total_time_sec,avg_time_per_iter_sec,best_fa_objective,final_refined_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,boundary_ratio,min_cluster_size,max_cluster_size,max_cluster_ratio,is_very_imbalanced,n_label_0,n_label_1,n_label_2
1,43,297,65,362,6.207197200041264,0.01714695359127421,37.564737377016755,37.203073871808684,3,"0,1,2",26,228,0.8976377952755905,32,118,0.4645669291338583,False,118,32,104
2,44,297,17,314,5.542772400018293,0.017652141401332144,48.74960814909065,55.08700095688394,3,"0,1,2",224,30,0.11811023622047244,14,178,0.7007874015748031,False,62,178,14
3,45,297,21,318,6.611703300033696,0.020791519811426715,38.95702645617514,49.265599937426614,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,51,178,25
4,46,297,30,327,5.145515599986538,0.01573552171249706,49.46610894332377,52.42686747315335,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,100,133,21
5,47,297,71,368,7.09897930000443,0.019290704619577256,37.914656436981616,37.06032799947655,3,"0,1,2",24,230,0.905511811023622,30,115,0.452755905511811,False,109,30,115
6,48,297,11,308,4.869983399985358,0.015811634415536877,53.28265423507774,52.886797137382686,3,"0,1,2",230,24,0.09448818897637795,24,198,0.7795275590551181,False,24,32,198
7,49,297,24,321,6.6766914000036195,0.020799661682254268,38.00400306543078,51.53173865103272,3,"0,1,2",185,69,0.27165354330708663,23,143,0.562992125984252,False,143,88,23
8,50,297,30,327,6.79139159998158,0.020768781651319818,42.68465427126236,52.42686747315335,3,"0,1,2",179,75,0.2952755905511811,21,133,0.5236220472440944,False,100,21,133
9,51,297,56,353,7.5241027000010945,0.021314738526915282,35.629802151486444,37.67962260925265,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,115,101,38
10,52,297,56,353,7.299273299984634,0.02067782804528225,38.600397152658545,37.67962261308591,3,"0,1,2",30,224,0.8818897637795275,38,115,0.452755905511811,False,101,38,115
11,53,297,18,315,5.65991699998267,0.01796799047613546,49.50965680583337,49.26559993720983,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
12,54,297,13,310,5.566885599982925,0.017957695483815886,49.05937398216855,49.26559993741432,3,"0,1,2",209,45,0.17716535433070865,25,178,0.7007874015748031,False,178,25,51
