Tahun,Provinsi,label
2019,Aceh,3
2019,Bali,0
2019,Banten,0
2019,Bengkulu,0
2019,DKI Jakarta,1
2019,Daerah Istimewa Yogyakarta,1
2019,Gorontalo,0
2019,Jambi,3
2019,Jawa Barat,1
2019,Jawa Tengah,1
2019,Jawa Timur,1
2019,Kalimantan Barat,0
2019,Kalimantan Selatan,1
2019,Kalimantan Tengah,1
2019,Kalimantan Timur,1
2019,Kalimantan Utara,1
2019,Kepulauan Bangka Belitung,3
2019,Kepulauan Riau,0
2019,Lampung,1
2019,Maluku,0
2019,Maluku Utara,0
2019,Nusa Tenggara Barat,1
2019,Nusa Tenggara Timur,3
2019,Papua,3
2019,Papua Barat,3
2019,Riau,3
2019,Sulawesi Barat,1
2019,Sulawesi Selatan,1
2019,Sulawesi Tengah,3
2019,Sulawesi Tenggara,0
2019,Sulawesi Utara,1
2019,Sumatera Barat,1
2019,Sumatera Selatan,1
2019,Sumatera Utara,0
2020,Aceh,3
2020,Bali,3
2020,Banten,1
2020,Bengkulu,1
2020,DKI Jakarta,1
2020,Daerah Istimewa Yogyakarta,1
2020,Gorontalo,1
2020,Jambi,3
2020,Jawa Barat,1
2020,Jawa Tengah,1
2020,Jawa Timur,1
2020,Kalimantan Barat,1
2020,Kalimantan Selatan,1
2020,Kalimantan Tengah,1
2020,Kalimantan Timur,1
2020,Kalimantan Utara,1
2020,Kepulauan Bangka Belitung,0
2020,Kepulauan Riau,0
2020,Lampung,0
2020,Maluku,3
2020,Maluku Utara,1
2020,Nusa Tenggara Barat,3
2020,Nusa Tenggara Timur,3
2020,Papua,3
2020,Papua Barat,3
2020,Riau,3
2020,Sulawesi Barat,0
2020,Sulawesi Selatan,1
2020,Sulawesi Tengah,1
2020,Sulawesi Tenggara,1
2020,Sulawesi Utara,1
2020,Sumatera Barat,1
2020,Sumatera Selatan,1
2020,Sumatera Utara,1
2021,Aceh,3
2021,Bali,3
2021,Banten,1
2021,Bengkulu,1
2021,DKI Jakarta,1
2021,Daerah Istimewa Yogyakarta,1
2021,Gorontalo,3
2021,Jambi,2
2021,Jawa Barat,1
2021,Jawa Tengah,1
2021,Jawa Timur,1
2021,Kalimantan Barat,1
2021,Kalimantan Selatan,1
2021,Kalimantan Tengah,0
2021,Kalimantan Timur,1
2021,Kalimantan Utara,1
2021,Kepulauan Bangka Belitung,3
2021,Kepulauan Riau,3
2021,Lampung,0
2021,Maluku,3
2021,Maluku Utara,0
2021,Nusa Tenggara Barat,3
2021,Nusa Tenggara Timur,3
2021,Papua,3
2021,Papua Barat,3
2021,Riau,1
2021,Sulawesi Barat,1
2021,Sulawesi Selatan,1
2021,Sulawesi Tengah,3
2021,Sulawesi Tenggara,1
2021,Sulawesi Utara,0
2021,Sumatera Barat,1
2021,Sumatera Selatan,1
2021,Sumatera Utara,3
2022,Aceh,3
2022,Bali,0
2022,Banten,1
2022,Bengkulu,1
2022,DKI Jakarta,0
2022,Daerah Istimewa Yogyakarta,1
2022,Gorontalo,3
2022,Jambi,0
2022,Jawa Barat,1
2022,Jawa Tengah,1
2022,Jawa Timur,1
2022,Kalimantan Barat,1
2022,Kalimantan Selatan,1
2022,Kalimantan Tengah,0
2022,Kalimantan Timur,1
2022,Kalimantan Utara,1
2022,Kepulauan Bangka Belitung,0
2022,Kepulauan Riau,0
2022,Lampung,1
2022,Maluku,1
2022,Maluku Utara,3
2022,Nusa Tenggara Barat,3
2022,Nusa Tenggara Timur,3
2022,Papua,3
2022,Papua Barat,3
2022,Papua Barat Daya,3
2022,Papua Pegunungan,3
2022,Papua Selatan,3
2022,Papua Tengah,3
2022,Riau,0
2022,Sulawesi Barat,1
2022,Sulawesi Selatan,1
2022,Sulawesi Tengah,3
2022,Sulawesi Tenggara,1
2022,Sulawesi Utara,0
2022,Sumatera Barat,1
2022,Sumatera Selatan,1
2022,Sumatera Utara,0
2023,Aceh,3
2023,Bali,0
2023,Banten,1
