run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_lower_objects,n_boundary_objects,avg_active_clusters_per_object,boundary_ratio,max_cluster_ratio,min_cluster_size,max_cluster_size,n_label_0,n_label_1,n_label_2,n_label_3,is_very_imbalanced
1,43,28,0.030189699959009886,0.0010782035699646389,48.376214765067054,4,"0,1,2,3",173,81,1.3188976377952757,0.3188976377952756,0.5078740157480315,6,129,6,129,19,100,False
2,44,46,0.04451819998212159,0.000967786956133078,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,35,181,13,False
3,45,21,0.020760699990205467,0.0009886047614383556,49.48491554218909,4,"0,1,2,3",231,23,1.0905511811023623,0.09055118110236221,0.7677165354330708,5,195,22,5,32,195,False
4,46,15,0.016301300027407706,0.0010867533351605137,45.726756113981736,4,"0,1,2,3",189,65,1.2598425196850394,0.2559055118110236,0.5551181102362205,10,141,141,83,20,10,False
5,47,18,0.017489799996837974,0.0009716555553798875,48.250404021068704,4,"0,1,2,3",215,39,1.1574803149606299,0.15354330708661418,0.7125984251968503,4,181,181,4,45,24,False
6,48,16,0.018320299976039678,0.0011450187485024799,45.37324758627312,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,181,25,13,35,False
7,49,17,0.017608300026040524,0.001035782354472972,43.96565657580594,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,13,47,169,False
8,50,17,0.017108900006860495,0.0010064058827564998,43.96565657580631,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,25,13,47,169,False
9,51,19,0.019751899992115796,0.0010395736837955681,43.9656565757904,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,169,13,47,25,False
10,52,14,0.01351819996489212,0.0009655857117780085,51.81580265356459,4,"0,1,2,3",230,24,1.0984251968503937,0.09448818897637795,0.7755905511811023,1,197,32,1,24,197,False
11,53,17,0.015738400048576295,0.0009257882381515467,48.253718500301424,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.7086614173228346,5,180,180,14,55,5,False
12,54,18,0.019830700010061264,0.0011017055561145146,44.48683651343872,4,"0,1,2,3",191,63,1.2598425196850394,0.24803149606299213,0.5393700787401575,21,137,75,21,137,21,False
13,55,15,0.015793600003235042,0.0010529066668823362,43.59226553622527,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5275590551181102,20,134,20,134,23,77,False
14,56,20,0.017636400007177144,0.0008818200003588572,54.04700338006649,4,"0,1,2,3",224,30,1.1181102362204725,0.11811023622047244,0.7952755905511811,2,202,46,4,202,2,False
15,57,14,0.014969700016081333,0.0010692642868629523,44.500770383822235,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,20,76,23,135,False
16,58,14,0.015196299995295703,0.0010854499996639788,44.5007703838382,4,"0,1,2,3",194,60,1.2480314960629921,0.23622047244094488,0.531496062992126,20,135,135,23,20,76,False
17,59,20,0.019833599973935634,0.0009916799986967816,43.9656565758054,4,"0,1,2,3",213,41,1.1653543307086613,0.16141732283464566,0.6653543307086615,13,169,47,25,13,169,False
18,60,17,0.018477600009646267,0.001086917647626251,44.335215727002954,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,135,21,23,75,False
19,61,37,0.03626100003020838,0.0009800270278434698,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,25,35,False
20,62,20,0.02001059998292476,0.001000529999146238,44.46113079667276,4,"0,1,2,3",194,60,1.2519685039370079,0.23622047244094488,0.5393700787401575,21,137,21,23,137,73,False
21,63,16,0.015458800015039742,0.0009661750009399839,44.4856901734359,4,"0,1,2,3",214,40,1.1614173228346456,0.15748031496062992,0.6811023622047244,13,173,25,13,173,43,False
22,64,51,0.050612199993338436,0.0009923960783007537,45.37324758626974,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,181,13,25,35,False
23,65,17,0.019425800011958927,0.0011426941183505252,44.33521572701352,4,"0,1,2,3",193,61,1.2559055118110236,0.24015748031496062,0.531496062992126,21,135,23,135,21,75,False
24,66,15,0.016526199993677437,0.0011017466662451626,48.20618494334594,4,"0,1,2,3",209,45,1.1811023622047243,0.17716535433070865,0.6968503937007874,1,177,177,25,51,1,False
25,67,22,0.019630599999800324,0.0008922999999909239,47.211830704685234,4,"0,1,2,3",215,39,1.1574803149606299,0.15354330708661418,0.6811023622047244,12,173,55,14,173,12,False
26,68,22,0.0320386000094004,0.0014563000004272908,33.727902743121184,4,"0,1,2,3",34,220,1.9291338582677164,0.8661417322834646,0.4448818897637795,13,113,28,13,100,113,False
27,69,52,0.06930350000038743,0.001332759615392066,33.727902753223255,4,"0,1,2,3",34,220,1.9291338582677164,0.8661417322834646,0.4448818897637795,13,113,28,100,13,113,False
28,70,16,0.016228699998464435,0.0010142937499040272,44.54704568340777,4,"0,1,2,3",195,59,1.2480314960629921,0.23228346456692914,0.531496062992126,21,135,23,75,21,135,False
29,71,41,0.0520187999936752,0.0012687512193579318,45.37324758627314,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,25,35,181,13,False
30,72,39,0.03740730002755299,0.0009591615391680255,45.37324758626971,4,"0,1,2,3",228,26,1.110236220472441,0.10236220472440945,0.7125984251968503,13,181,13,181,35,25,False
31,73,21,0.020700199995189905,0.0009857238092947575,44.27767249443235,4,"0,1,2,3",192,62,1.2559055118110236,0.2440944881889764,0.5393700787401575,21,137,137,73,23,21,False
32,74,16,0.021056100027635694,0.0013160062517272308,38.129570846593296,3,"0,1,2",145,109,1.5826771653543308,0.42913385826771655,0.5984251968503937,0,152,152,23,79,0,False
33,75,22,0.022147799958474934,0.0010067181799306788,50.59142731983046,4,"0,1,2,3",189,65,1.2559055118110236,0.2559055118110236,0.5393700787401575,2,137,137,21,94,2,False
34,76,18,0.0204399999929592,0.0011355555551644,43.612084463373556,4,"0,1,2,3",188,66,1.2755905511811023,0.25984251968503935,0.5354330708661418,20,136,23,136,75,20,False
35,77,11,0.01703240000642836,0.0015484000005843964,36.33428059427993,4,"0,1,2,3",43,211,1.921259842519685,0.8307086614173228,0.4251968503937008,24,108,108,94,24,28,False
