iterasi,objective_value
1,50.430587650198504
2,44.987408140737735
3,39.80962524963507
4,37.59324789134785
5,36.82878129262814
6,36.75917524172395
7,37.08662975066464
8,36.78637685736943
9,36.86250602542554
10,36.579288910375965
11,36.33585731393856
12,36.22555668003598
13,36.29182178189056
14,36.34258768797646
15,36.341277824148875
16,36.34051894821215
17,36.33963562349988
18,36.33860531518963
19,36.33741633429507
20,36.33606305475321
21,36.33454793444769
22,36.42288251172911
23,36.42040896420714
24,36.418472502181146
25,36.41649653108995
26,36.4145376993372
27,36.608661101031394
28,37.61663816661446
29,42.55211233722519
30,43.3291716366806
31,43.952454288821
32,43.6970751800825
33,44.030904396323244
34,44.052749897040385
35,44.000437748985995
36,44.293930731930864
37,44.32268932244516
38,44.27533737743174
39,44.3278068051184
40,44.3271642820939
41,44.32715726719037
42,44.32715704784553
