run,seed,n_iter_internal,total_time_sec,avg_time_per_iter_sec,final_objective,n_label_aktif,label_aktif,n_label_0,n_label_1,n_label_2,n_label_3
1,43,13,0.001784200081601739,0.0001372461601232107,58.04727935960102,4,"0,1,2,3",20,134,2,98
2,44,10,0.0011932998895645142,0.00011932998895645142,51.582367026905615,4,"0,1,2,3",124,22,84,24
3,45,15,0.0011940000113099813,7.960000075399876e-05,54.65745504267315,4,"0,1,2,3",153,5,66,30
4,46,6,0.0005399000365287066,8.998333942145109e-05,57.06150593377803,4,"0,1,2,3",134,99,11,10
5,47,7,0.0008153999224305153,0.00011648570320435933,55.99809473273082,4,"0,1,2,3",157,3,69,25
6,48,10,0.0009260000661015511,9.26000066101551e-05,51.61577552574731,4,"0,1,2,3",83,22,128,21
7,49,8,0.0007065001409500837,8.831251761876047e-05,50.836624713189906,4,"0,1,2,3",25,14,67,148
8,50,10,0.0007615000940859318,7.615000940859318e-05,50.876439603457534,4,"0,1,2,3",22,14,66,152
9,51,7,0.0006351999472826719,9.074284961181027e-05,56.19760995450929,4,"0,1,2,3",121,84,42,7
10,52,9,0.0008968999609351158,9.965555121501286e-05,57.18812486580987,4,"0,1,2,3",33,1,27,193
11,53,6,0.0006150000263005495,0.00010250000438342492,54.906858180185715,4,"0,1,2,3",181,9,59,5
12,54,17,0.0015078999567776918,8.869999745751128e-05,51.58974117932868,4,"0,1,2,3",84,22,125,23
13,55,8,0.001756099984049797,0.00021951249800622463,56.6288660693607,4,"0,1,2,3",57,141,27,29
14,56,15,0.0018075001426041126,0.00012050000950694084,58.63703815463988,4,"0,1,2,3",59,4,189,2
15,57,8,0.0009598999749869108,0.00011998749687336385,60.14121285693284,4,"0,1,2,3",18,59,4,173
16,58,7,0.0010867000091820955,0.00015524285845458508,51.57775424555595,4,"0,1,2,3",124,24,21,85
17,59,9,0.001056100009009242,0.00011734444544547134,50.838035106958884,4,"0,1,2,3",66,24,14,150
18,60,18,0.0012506998609751463,6.948332560973035e-05,50.81744278153968,4,"0,1,2,3",156,59,25,14
19,61,9,0.0009050997905433178,0.00010056664339370198,50.816601524470464,4,"0,1,2,3",14,25,154,61
20,62,18,0.0018708999268710613,0.00010393888482617008,50.814570112077824,4,"0,1,2,3",60,25,155,14
21,63,8,0.000893500167876482,0.00011168752098456025,50.95388515142286,4,"0,1,2,3",28,14,174,38
22,64,5,0.000462499912828207,9.249998256564141e-05,53.21092356534475,4,"0,1,2,3",90,15,133,16
23,65,16,0.0013570000883191824,8.48125055199489e-05,50.960535438459644,4,"0,1,2,3",14,28,38,174
24,66,21,0.0016743999440222979,7.973333066772847e-05,57.90532879219493,4,"0,1,2,3",106,124,23,1
25,67,12,0.0009478998836129904,7.89916569677492e-05,50.87490650434506,4,"0,1,2,3",67,14,151,22
26,68,7,0.0006562999915331602,9.375714164759432e-05,52.77521870377485,4,"0,1,2,3",22,14,103,115
27,69,8,0.0006268001161515713,7.835001451894641e-05,51.6240377658079,4,"0,1,2,3",22,126,22,84
28,70,13,0.001747300149872899,0.00013440770383637684,51.840911452805685,4,"0,1,2,3",23,70,26,135
29,71,25,0.0027855001389980316,0.00011142000555992127,50.97443937759326,4,"0,1,2,3",14,37,28,175
30,72,9,0.0007746999617666006,8.60777735296223e-05,50.81475966315672,4,"0,1,2,3",14,26,60,154
31,73,8,0.0006703999824821949,8.379999781027436e-05,51.58194345796011,4,"0,1,2,3",132,76,25,21
32,74,9,0.0029274001717567444,0.00032526668575074937,51.81368808889242,4,"0,1,2,3",134,25,73,22
33,75,7,0.0006834999658167362,9.764285225953375e-05,58.83191182136428,4,"0,1,2,3",180,7,65,2
34,76,15,0.0011208001524209976,7.472001016139984e-05,50.81809118008502,4,"0,1,2,3",24,156,14,60
35,77,9,0.0007380000315606594,8.200000350673993e-05,50.82781057352339,4,"0,1,2,3",151,14,26,63
36,78,16,0.0013836000580340624,8.64750036271289e-05,50.878575174003174,4,"0,1,2,3",164,14,51,25
37,79,10,0.0017021000385284424,0.00017021000385284424,50.84805246624267,4,"0,1,2,3",154,26,60,14
38,80,9,0.001989099895581603,0.00022101109950906702,55.85547445643572,4,"0,1,2,3",132,2,98,22
39,81,9,0.0015799999237060547,0.00017555554707845053,51.58974117932868,4,"0,1,2,3",84,23,22,125
40,82,7,0.0018507998902350664,0.0002643999843192952,50.96054309123491,4,"0,1,2,3",40,174,26,14
41,83,13,0.0011688999366015196,8.991537973857843e-05,51.58649198639228,4,"0,1,2,3",22,23,81,128
42,84,6,0.001043700147420168,0.00017395002457002798,51.12037766009569,4,"0,1,2,3",32,15,179,28
43,85,21,0.0049819000996649265,0.0002372333380792822,51.58162180881615,4,"0,1,2,3",77,131,25,21
44,86,11,0.00137039995752275,0.00012458181432025,51.60905937110546,4,"0,1,2,3",132,25,79,18
45,87,9,0.0016975000035017729,0.00018861111150019697,55.731007843332435,4,"0,1,2,3",73,24,155,2
46,88,5,0.0006281998939812183,0.00012563997879624366,51.63341485093707,4,"0,1,2,3",18,126,86,24
47,89,8,0.000682199839502573,8.527497993782163e-05,50.8373372504855,4,"0,1,2,3",25,66,149,14
48,90,8,0.001184399938210845,0.00014804999227635562,55.67095068811163,4,"0,1,2,3",3,191,27,33
49,91,11,0.0010639999527484179,9.672726843167435e-05,52.77521870377485,4,"0,1,2,3",103,14,115,22
50,92,11,0.0008674999698996544,7.886363362724131e-05,51.57775424555595,4,"0,1,2,3",21,24,85,124
51,93,8,0.0007126000709831715,8.907500887289643e-05,50.82356669747415,4,"0,1,2,3",26,63,151,14
52,94,17,0.0021563000045716763,0.00012684117673951036,51.58535372311477,4,"0,1,2,3",75,132,25,22
53,95,17,0.0014464999549090862,8.508823264171096e-05,50.81457011207782,4,"0,1,2,3",14,155,25,60
54,96,11,0.000911500072106719,8.286364291879264e-05,51.58974117932868,4,"0,1,2,3",125,22,23,84
55,97,19,0.0015520998276770115,8.168946461457955e-05,53.085783829842626,4,"0,1,2,3",18,140,15,81
56,98,18,0.0017007000278681517,9.448333488156398e-05,51.60905937110546,4,"0,1,2,3",79,132,18,25
57,99,12,0.0009928001090884209,8.273334242403507e-05,51.81368808889242,4,"0,1,2,3",25,134,73,22
58,100,11,0.0009452998638153076,8.593635125593705e-05,51.57553335909522,4,"0,1,2,3",21,126,83,24
59,101,6,0.0007921999786049128,0.00013203332976748547,51.57643024689245,4,"0,1,2,3",21,84,125,24
60,102,7,0.0007249999325722456,0.00010357141893889223,50.82897775772228,4,"0,1,2,3",14,24,149,67
