Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2025,Aceh,Kab. Aceh Selatan,96.8,30.08,12.29,13.1,16.33,6.4,5.42,3.43,5.35,7.6,1.1,0.95,6.0,5.65,5.95,0.4,1.435
2025,Aceh,Kab. Aceh Tenggara,117.79,41.0,5.0,9.0,30.0,2.0,5.0,5.0,3.0,4.55,25.0,15.0,50.0,7.0,15.0,5.0,1.435
2025,Aceh,Kab. Aceh Timur,184.56,25.0,27.0,9.0,15.0,7.0,5.0,5.0,7.0,4.55,18.0,5.0,15.0,9.0,5.0,2.0,1.435
2025,Aceh,Kab. Aceh Barat,84.39,16.97,46.05,8.25,18.94,0.6,3.63,1.17,1.13,3.26,46.62,4.52,17.77,8.77,4.73,1.69,0.29
2025,Aceh,Kab. Aceh Besar,151.88,25.5,25.5,9.5,21.6,5.1,3.3,3.3,3.7,2.5,48.2,2.7,19.6,12.1,4.3,7.8,5.3
2025,Aceh,Kab. Pidie,182.78,7.0,6.0,22.0,43.0,3.0,2.0,3.0,2.0,12.0,1.5,0.5,2.5,1.5,1.5,2.0,3.0
2025,Aceh,Kab. Aceh Utara,320.5,30.0,10.0,10.0,40.0,5.0,2.0,1.0,1.0,1.0,160.0,2.0,115.0,20.0,11.5,10.0,2.0
2025,Aceh,Kab. Simeulue,46.23,24.8,20.3,10.1,25.7,10.2,2.6,1.8,1.5,3.0,13.87,5.55,11.56,8.78,3.24,1.85,1.39
2025,Aceh,Kab. Aceh Singkil,56.0,30.0,10.0,15.0,22.0,2.0,5.0,3.0,2.0,11.0,35.0,0.3,12.1,5.0,0.6,2.0,1.0
2025,Aceh,Kab. Bireuen,163.95,42.7,9.9,14.2,18.9,2.6,2.1,2.2,2.3,5.1,19.27,3.0,11.56,9.026315789473685,3.48,2.0,1.435
2025,Aceh,Kab. Aceh Barat Daya,80.67,15.0,7.0,25.0,25.0,10.0,5.0,5.0,5.0,3.0,15.0,15.0,30.0,20.0,10.0,5.0,5.0
2025,Aceh,Kab. Gayo Lues,41.94,24.0,15.0,10.0,40.0,1.0,2.0,3.0,1.0,4.0,15.26,4.0,10.73,6.7,3.3,0.95,1.0
2025,Aceh,Kab. Aceh Jaya,50.7,48.0,14.0,10.0,14.0,9.0,2.0,1.0,1.0,1.0,19.27,4.06,7.61,11.15,5.07,2.54,1.01
2025,Aceh,Kab. Nagan Raya,72.44,46.0,7.0,2.0,34.0,1.0,2.0,3.0,1.0,4.0,15.5,0.5,7.8,5.5,1.23,1.0,2.0
2025,Aceh,Kab. Bener Meriah,68.81,20.0,20.0,20.0,25.0,5.0,2.0,3.0,4.0,1.0,37.97,0.18,7.95,15.06,2.41,0.81,1.5
2025,Aceh,Kota Banda Aceh,241.17,29.48,23.59,6.34,25.75,0.49,1.87,0.19,1.47,10.82,76.5,0.23,3.72,15.69,2.85,2.0,1.01
2025,Aceh,Kota Sabang,21.14,20.0,10.0,5.0,20.0,10.0,5.0,5.0,15.0,10.0,7.0,3.0,0.8,3.5,0.55,2.0,0.56
2025,Aceh,Kota Lhokseumawe,102.03,54.4,0.98,15.04,14.02,2.12,0.18,0.82,2.45,9.99,58.4,5.59,12.3,4.45,7.0,3.2,8.1
2025,Aceh,Kota Langsa,91.96,36.07,11.61,10.28,18.16,3.16,2.34,1.94,2.19,6.17,49.41,3.66,13.31,9.65,3.48,10.96,1.48
2025,Aceh,Kota Subulussalam,52.78,25.0,15.0,15.0,20.0,2.0,5.0,5.0,3.0,10.0,15.0,0.5,10.0,2.0,3.0,4.0,0.5
2025,Sumatera Utara,Kab. Nias,59.39,39.69,12.9,12.08,17.89,3.26,2.49,1.75,2.36,7.58,9.0,0.3,1.98,4.66,0.33,3.295,0.93
2025,Sumatera Utara,Kab. Pakpak Bharat,22.69,39.9,6.0,12.1,26.0,5.0,2.0,1.0,5.0,3.0,12.37,1.27,2.93,2.34,2.32,0.62,0.84
2025,Sumatera Utara,Kota Tanjung Balai,94.03,64.02,1.94,9.5,13.98,0.6,0.9,0.28,0.53,8.25,61.2,2.9,2.75,6.98,1.56,5.97,3.98
2025,Sumatera Barat,Kab. Solok,164.17,35.5,15.0,13.5,23.0,3.0,2.5,2.0,2.0,3.5,7.75,1.0,4.75,3.0,2.0,4.0,1.0
2025,Sumatera Barat,Kab. Solok Selatan,67.64,34.35,0.78,16.35,25.69,0.13,0.59,0.55,2.31,19.25,57.78,0.2,2.08,5.31,2.16,0.04,0.06
2025,Sumatera Barat,Kota Solok,59.89,45.73,11.12,16.88,20.72,1.78,0.35,0.14,0.81,2.47,48.11,0.93,7.52,1.98,1.02,0.08,0.25
2025,Sumatera Barat,Kota Sawahlunto,19.24,46.0,10.0,11.0,14.0,3.0,5.0,4.0,5.0,2.0,69.0,2.0,13.0,1.0,7.0,1.0,7.0
2025,Sumatera Barat,Kota Bukittinggi,134.71,49.71,6.27,5.51,21.96,1.75,2.3,0.34,1.35,10.81,70.74,0.62,25.5,13.33,21.5,1.98,1.04
2025,Riau,Kab. Siak,198.3,39.0,15.0,10.0,26.0,1.0,2.0,2.0,3.0,2.0,71.3,20.5,50.5,12.0,24.0,10.0,10.0
2025,Riau,Kota Pekanbaru,1050.84,56.35,10.89,2.78,14.19,0.45,3.51,1.41,1.13,9.29,67.53,14.155,33.2,27.745,12.28,10.0,10.0
2025,Riau,Kota Dumai,177.63,48.97,7.5,5.3,8.95,2.27,3.72,2.5,2.79,18.0,63.76,7.81,15.9,43.49,0.56,10.0,10.0
2025,Jambi,,156.95499999999998,38.325,11.77190476190476,12.676363636363636,16.175,2.5300000000000002,3.0,3.0,1.0,5.78,20.28,1.7650000000000001,24.55,4.5,2.85,2.685,8.25
2025,Sumatera Selatan,Kab. Muara Enim,261.49,61.02,8.07,7.38,17.18,1.14,1.33,0.36,0.31,3.21,66.88,23.76,53.94,3.88,0.11,0.12,0.435
2025,Sumatera Selatan,Kota Pagar Alam,78.13,34.1,12.1,7.2,32.3,2.3,2.7,2.7,1.2,5.4,24.32,4.4,12.28,0.69,5.79,0.58,0.36
2025,Sumatera Selatan,Kota Prabumulih,102.95,42.88,1.44,9.02,39.72,4.0,0.04,0.09,2.8,0.01,63.03,8.13,10.17,10.17,0.51,9.15,0.51
2025,Bengkulu,Kab. Bengkulu Utara,187.16,31.0,10.0,10.0,40.0,5.0,1.0,1.0,1.0,1.0,112.2,7.5,15.0,15.0,5.6,18.7,13.1
2025,Lampung,Kab. Lampung Selatan,780.07,65.0,1.0,11.0,14.0,3.5,1.0,1.0,2.5,1.0,2.7,0.56,166.96,398.41,21.71,187.56,2.82
2025,Lampung,Kab. Tulang Bawang,176.02,70.0,13.0,5.0,6.0,1.7099999999999997,1.7399999999999998,1.0,1.53,6.0,20.0,2.0,10.0,1.0,1.0,187.56,2.0
2025,Lampung,Kab. Tanggamus,375.42,31.0,25.0,13.0,21.0,1.0,1.0,1.0,2.0,5.0,174.23333333333335,162.37,13169.94,774.93,267.16,16133.51,5.01
2025,Lampung,Kab. Pringsewu,177.93,50.0,13.0,5.0,20.0,1.75,3.0,1.0,0.25,6.0,174.23333333333335,2.75,113.48,294.96,11.855,187.56,3.915
2025,Lampung,Kab. Pesisir Barat,69.48,42.5,19.2,9.5,21.1,0.6,2.0,0.9,1.2,3.0,174.23333333333335,2.75,113.48,294.96,11.855,187.56,3.915
2025,Lampung,Kota Bandar Lampung,715.13,15.8,20.1,3.0,2.6,1.7,1.7,2.7,1.7,50.7,500.0,3.5,60.0,5.5,2.0,43.0,236.0
2025,Kepulauan Bangka Belitung,Kab. Belitung Timur,53.0,57.0,13.780000000000001,5.0,17.0,2.0,2.0,2.0,1.0,14.0,47.7,2.08,12.35,5.0,3.84,5.1,5.7
2025,Kepulauan Riau,Kab. Bintan,59.53,45.88,8.99,9.45,15.35,9.45,2.0,2.5,3.5,2.88,33.21,5.45,8.61,3.15,3.51,2.0,3.6
2025,Kepulauan Riau,Kab. Lingga,50.99,34.3,15.4,15.0,20.0,2.5,6.1,3.0,3.2,0.5,20.9,0.5,0.8,4.9,3.2,1.04,0.2
2025,Kepulauan Riau,Kota Tanjung Pinang,155.97,59.05,0.22,9.72,28.11,0.32,0.1,1.05,1.43,1.69,27.055,2.975,4.705,4.025,3.355,1.52,1.9000000000000001
2025,DKI Jakarta,Kota Adm. Jakarta Pusat,858.09,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2025,DKI Jakarta,Kota Adm. Jakarta Barat,2213.61,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2025,DKI Jakarta,Kota Adm. Jakarta Selatan,2005.43,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2025,DKI Jakarta,Kota Adm. Jakarta Timur,2374.14,49.87,3.18,17.24,22.95,1.08,0.9,0.7,1.48,2.6,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2025,Jawa Barat,Kab. Cianjur,1096.33,61.05,1.04,6.94,14.39,0.26,2.1,0.5,1.48,12.24,828.63,109.09,21.9,12.3,32.91,62.87,978.0
2025,Jawa Barat,Kab. Kuningan,499.13,40.0,17.0,10.0,16.0,4.0,3.0,2.0,2.0,6.0,52351.64,11944.21,30121.59,48036.99,5193.09,31938.3,2596.09
2025,Jawa Barat,Kab. Cirebon,1249.95,10.0,5.0,10.0,40.0,5.0,5.0,5.0,10.0,10.0,186.79,1.97,37.03,0.79,0.43,70.78,5.9
2025,Jawa Barat,Kab. Sumedang,490.66,30.0,7.5,10.5,27.5,3.0,4.5,2.5,6.5,8.0,69.28,0.14,11.7,0.38,0.12,2.04,0.17
2025,Jawa Barat,Kab. Indramayu,1148.42,45.17,15.06,8.47,13.78,0.16,1.49,0.21,1.3,14.36,964.68,13.78,86.13,24.12,19.52,18.37,21.82
2025,Jawa Barat,Kota Bogor,755.36,40.0,14.0,20.0,15.0,1.0,2.5,0.5,1.0,6.0,394.59,75.54,90.78,113.3,22.66,37.77,20.72
2025,Jawa Barat,Kota Cirebon,216.35,49.22,11.76,5.56,19.01,0.71,1.76,0.58,1.43,9.97,104.41,1.27,8.01,58.0,22.09,13.89,8.68
2025,Jawa Barat,Kota Tasikmalaya,334.14,25.3,14.96,12.19,31.53,0.87,3.4,0.0,4.28,7.47,0.19,0.02,0.33,0.12,0.22,0.11,0.08
2025,Jawa Tengah,Kab. Klaten,655.76,60.0,5.0,5.0,20.0,0.5,5.0,3.0,0.5,1.0,353.55,21.56,3.4,2.2,15.61,6.4,5.706666666666667
2025,Jawa Tengah,Kab. Sragen,602.86,74.3,0.8,8.9,11.2,0.5,1.8,0.3,1.8,0.4,189.72,40.51,149.87,50.52,103.69,64.75,3.8
2025,Jawa Tengah,Kab. Demak,632.61,39.69,12.9,12.08,17.89,3.26,2.49,1.75,2.36,7.58,495.26,13.04,49.47,37.13,13.17,19.38,5.16
2025,Jawa Tengah,Kab. Semarang,544.36,71.56,1.58,4.25,18.52,0.27,0.18,1.3074999999999999,0.38,3.26,326.2425,21.559999999999995,58.2575,25.245,15.61,30.176666666666666,5.706666666666667
2025,Jawa Tengah,Kota Surakarta,421.48,49.55,14.97,7.17,10.29,0.2,2.38,0.18,0.51,14.75,266.44,11.13,30.29,11.13,15.61,30.176666666666666,8.16
2025,Daerah Istimewa Yogyakarta,Kab. Kulon Progo,217.16,25.0,27.0,17.0,23.0,3.0,2.0,1.0,1.0,1.0,165.04,0.24,21.56,10.65,12.35,7.31,15.81
2025,Daerah Istimewa Yogyakarta,Kab. Bantul,421.52,43.74,14.54,9.19,30.31,0.19,0.31,0.01,0.3,1.41,278.91,1188.81,8537.6,3249.25,32025.81,127.75,5354.14
2025,Daerah Istimewa Yogyakarta,Kab. Gunungkidul,394.86,47.0,1.0,15.0,15.0,1.0,1.0,0.2,1.0,18.8,357.04,6.28,13.11,4.71,11.45,28.73,9.1
2025,Daerah Istimewa Yogyakarta,Kab. Sleman,585.3,46.49,10.695,17.08,32.77,0.99,0.16,0.03,0.57,1.91,401.9,2.46,54.66,0.97,112.12,54.596666666666664,13.18
2025,Daerah Istimewa Yogyakarta,Kota Yogyakarta,300.64,48.35,0.24,15.92,30.55,0.57,1.24,0.37,0.93,1.83,191.66,0.93,27.35,55.1,7.16,54.596666666666664,18.44
2025,Jawa Timur,Kab. Pacitan,300.25,68.2,2.9,8.2,17.2,0.3,0.2,0.3,0.5,2.2,19.76,1.71,4.23,1.91,0.32,1.17,0.35
2025,Jawa Timur,Kab. Trenggalek,301.52,45.0,12.0,13.0,21.0,2.0,1.0,3.0,1.0,2.0,124.14,19.75,44.86,56.17,19.72,18.87,10.44
2025,Jawa Timur,Kab. Jombang,534.39,50.0,12.8,10.0,18.0,1.0,2.0,0.6,1.6,4.0,72.3,0.4,21.2,0.9,3.1,0.9,1.2
2025,Jawa Timur,Kab. Nganjuk,459.44,61.5,2.0,13.1,12.3,6.0,1.0,1.0,1.0,2.1,187.67,23.75,98.32,9.2,24.11,49.3,67.09
2025,Jawa Timur,Kab. Magetan,277.12,36.28,25.01,8.22,14.25,0.31,1.35,2.81,3.22,8.55,59.34,3.63,39.58,4.01,2.62,7.95,2.22
2025,Jawa Timur,Kab. Ngawi,371.87,60.0,7.3,11.0,12.5,2.0,0.7,1.5,1.3,3.7,53.4,5.2,16.7,10.3,4.3,7.6,2.5
2025,Jawa Timur,Kab. Pamekasan,281.0,55.0,4.0,7.0,13.0,3.0,5.0,2.0,2.0,9.0,227.0,3.0,30.0,6.0,5.0,2.5,7.5
2025,Jawa Timur,Kota Probolinggo,122.2,45.55,8.84,12.78,26.3,0.74,1.23,1.59,0.42,2.55,53.73,1.27,12.22,2.69,1.79,1.72,0.52
2025,Jawa Timur,Kota Pasuruan,149.43,45.0,15.0,10.65,19.04,1.36,1.32,2.35,3.02,2.26,86.67,0.75,22.41,1.49,18.68,7.48,11.95
2025,Jawa Timur,Kota Surabaya,1810.81,34.48,20.61,5.89,16.51,0.4,3.46,1.54,1.01,16.1,1419.16,27.84,111.88,45.22,12.77,23.57,5.59
2025,Jawa Timur,Kota Batu,122.14,53.55,5.17,8.38,23.97,0.28,2.87,0.53,0.63,4.62,79.485,3.315,26.205,5.005,9.241,7.54,4.045
2025,Banten,Kab. Lebak,620.61,30.0,12.0,10.0,15.0,8.0,5.0,5.0,10.0,5.0,612.63,13.2,0.8,23.2,4.0,24.0,65.0
2025,Bali,Kab. Jembrana,165.44,27.37,47.94,0.84,19.04,0.71,0.03,3.13,0.61,0.33,56.38,2.8,12.4,15.4,7.32,3.1,2.6
2025,Bali,Kab. Gianyar,561.0,16.97,46.05,8.25,18.93,0.6,3.63,1.17,1.13,3.27,327.05,5.04,17.28,1.75,2.2,1.6333333333333335,1.7300000000000002
2025,Bali,Kab. Klungkung,114.47,30.05,36.97,10.05,12.03,0.68,2.48,1.02,1.35,5.37,67.71,0.16,7.67,20.94,12.27,1.27,2.2
2025,Bali,Kab. Buleleng,413.1,4.0,68.41,6.69,14.69,0.23,1.79,0.52,0.77,2.9,527.27,1.55,6.78,1.36,1.16,0.53,0.39
2025,Nusa Tenggara Barat,,310.5495,41.339999999999996,14.58,7.75,19.0,6.0329999999999995,2.0,2.0,4.0,4.0,139.73684210526312,7.61,16.32,5.26,13.0,12.97,13.306111111111111
2025,Nusa Tenggara Timur,Kab. Kupang,156.08,44.0,21.0,6.0,12.0,2.0,6.0,3.0,1.0,5.0,62.96,15.74,39.35,2.87,15.74,15.74,5.0
2025,Nusa Tenggara Timur,Kab. Timor Tengah Selatan,201.65,35.0,35.0,1.0,15.0,4.0,2.0,4.0,1.0,3.0,110.91,8.07,60.5,10.08,8.07,2.01,2.01
2025,Nusa Tenggara Timur,Kab. Timor Tengah Utara,109.64,41.0,13.0,12.2,17.0,4.4,3.7,1.9,3.2,3.6,43.96,10.99,27.48,10.99,10.99,5.59090909090909,5.5
2025,Nusa Tenggara Timur,Kab. Belu,92.57,18.75,20.51,10.74,21.09,7.81,2.34,4.31,5.86,8.59,40.0,8.0,15.0,25.0,5.0,4.0,3.0
2025,Nusa Tenggara Timur,Kab. Flores Timur,118.9,26.43,40.01,5.58,23.6,2.02,0.02,1.01,1.0,0.33,47.56,11.89,23.78,11.89,10.7,9.51,3.57
2025,Nusa Tenggara Timur,Kab. Sikka,139.41,40.0,17.0,5.0,20.0,6.0,3.0,2.0,3.0,4.0,48.0,8.0,19.5,11.0,7.5,4.0,2.0
2025,Nusa Tenggara Timur,Kab. Ende,112.58,32.0,20.0,10.0,14.0,0.5,5.0,0.5,0.5,17.5,56.83,3.41,34.1,11.37,3.41,2.27,2.27
2025,Nusa Tenggara Timur,Kab. Ngada,121.86,10.0,10.0,20.0,25.0,10.0,10.0,5.0,5.0,5.0,8.0,5.0,6.32,4.0,5.0,4.0,2.0
2025,Nusa Tenggara Timur,Kab. Manggarai,139.93,25.5,25.0,11.4,33.1,0.75,1.15,1.0,2.1,4.5,55.64,2.53,35.41,17.7,23.6,5.06,3.0
2025,Nusa Tenggara Timur,Kab. Sumba Timur,105.91,19.0,15.0,32.0,27.0,3.0,1.0,3.0,0.0,0.0,16.0,19.0,24.0,22.0,14.0,5.0,0.0
2025,Nusa Tenggara Timur,Kab. Sumba Barat,62.01,10.09,10.72,20.15,30.73,7.57,2.8,9.36,5.8,2.78,46.85,6.5,21.64,11.0,7.785,5.590909090909091,3.0
2025,Nusa Tenggara Timur,Kab. Manggarai Barat,147.31,35.0,13.0,10.0,29.0,5.0,1.0,3.0,4.0,4.5,5.0,1.0,5.0,6.0,3.0,5.590909090909092,3.0
2025,Nusa Tenggara Timur,Kab. Nagekeo,65.78,42.0,28.0,5.0,15.0,2.8,3.0,1.0,2.1,1.1,46.14,0.95,7.5,0.05,11.14,5.029999999999999,3.0
2025,Nusa Tenggara Timur,Kab. Sumba Tengah,36.94,33.0,26.0,11.0,19.0,1.0,2.0,1.0,1.0,6.0,20.69,0.92,3.14,0.55,1.33,0.41,9.9
2025,Nusa Tenggara Timur,Kab. Sumba Barat Daya,164.39,25.0,20.0,5.0,20.0,5.0,7.0,5.0,5.0,8.0,79.7,1.88,0.11,11.62,6.64,5.029999999999999,0.05
2025,Nusa Tenggara Timur,Kab. Manggarai Timur,99.86,35.0,35.0,15.0,15.0,4.2027777777777775,2.9,2.455,2.6655555555555552,4.5,0.5,0.25,0.75,11.0,0.25,5.029999999999999,3.0
2025,Nusa Tenggara Timur,Kab. Sabu Raijua,37.91,14.0,24.0,22.0,25.0,9.0,1.0,1.0,3.0,1.0,8.87,0.09,0.06,2.0,0.01,5.029999999999999,3.0
2025,Nusa Tenggara Timur,Kab. Malaka,77.4,31.0,31.32,10.19,12.95,0.55,3.13,2.11,1.12,7.63,424.0,116.0,754.0,108.0,489.0,5.029999999999999,94.0
2025,Nusa Tenggara Timur,Kota Kupang,237.4,29.0,17.0,13.0,19.5,4.25,3.0,2.8,3.3,8.15,113.95,18.99,46.29,26.12,17.8,9.5,4.75
2025,Kalimantan Barat,Kab. Sambas,394.65,40.0,5.6,14.2,25.0,0.3,1.0,0.9,2.0,7.5625,161.6,0.94,93.46,10.49,2.125,2147.495,1.6
2025,Kalimantan Barat,Kab. Mempawah,94.87,40.25,12.93,11.33,18.07,3.05,2.59,2.14,2.21,7.43,40519.0,7281.0,15419.0,13877.0,2826.0,4283.0,1456.0
2025,Kalimantan Barat,Kab. Ketapang,299.95,1.63,4.73,21.24,17.62,32.77,0.98,8.11,0.0,12.89,115.34,1.99,14.48,10.49,2.125,2147.495,1.6
2025,Kalimantan Barat,Kab. Kapuas Hulu,138.49,44.77,1.32,12.8,28.62,2.2,1.51,2.56,2.29,3.93,115.34,0.33,10.79,10.49,0.5,2147.495,1.6
2025,Kalimantan Barat,Kab. Landak,166.01,35.0,2.0,20.0,28.0,2.0,1.722,2.14,7.0,6.0,11.22,1.99,8.72,1.25,0.5,2147.495,1.25
2025,Kalimantan Barat,Kab. Kayong Utara,67.54,39.31,12.54,11.21,19.74,3.43,2.53,2.11,2.35,7.5625,53.72,3.97,14.48,10.49,3.75,11.99,1.6
2025,Kalimantan Tengah,Kab. Kotawaringin Barat,141.4,51.0,8.0,13.0,10.0,2.0,2.0,2.0,1.0,11.0,29.25,4.88,19.5,4.88,9.75,9.75,19.5
2025,Kalimantan Tengah,Kab. Kotawaringin Timur,245.44,53.0,8.0,15.0,15.0,3.0,2.0,2.0,1.0,1.0,42.391999999999996,6.264,13.584,7.980000000000001,7.822,3.4475000000000002,12.850000000000001
2025,Kalimantan Tengah,Kab. Kapuas,215.09,30.38,12.84,13.06,20.79,14.92,2.0,2.8200000000000003,1.91,4.1,47.0,10.0,13.0,10.0,12.0,3.4475000000000002,8.0
2025,Kalimantan Tengah,Kab. Katingan,72.79,56.98,2.06,13.17,14.34,4.02,1.78,3.41,3.28,0.95,42.391999999999996,6.264,13.584000000000001,7.98,7.822,3.4475,12.85
2025,Kalimantan Tengah,Kab. Pulang Pisau,72.33,23.51,26.74,13.31,25.13,3.19,2.41,0.83,1.79,3.09,38.2,0.11,2.32,6.5,3.91,0.0,12.850000000000001
2025,Kalimantan Tengah,Kab. Barito Timur,46.67,32.0,9.0,7.0,37.0,1.0,5.0,6.5,1.2,1.3,22.3,0.1,10.8,2.1,4.2,0.4,6.7
2025,Kalimantan Tengah,Kota Palangkaraya,162.3,41.8,4.33,8.66,19.74,2.31,2.36,2.18,2.04,16.58,75.21,16.23,22.3,16.42,9.25,3.64,17.2
2025,Kalimantan Selatan,Kab. Barito Kuala,98.94,42.0,9.5,10.0,21.0,4.0,3.5,1.5,1.5,7.0,37.0,7.5,18.5,9.5,14.7,6.2,5.5
2025,Kalimantan Selatan,Kab. Tapin,76.18,42.23,1.3,16.73,30.5,1.67,4.92,1.36,0.95,0.34,60.02,1.93,6.04,2.05,2.67,2.09,1.38
