Tahun,Provinsi,Timbulan Sampah Harian(ton),Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton)
2019,Aceh,94.58,20.0,14.5,10.0,17.0,5.0,6.74,5.0,3.0,7.0,38.0,3.0,16.0,12.0,5.0,2.0,8.16
2019,Bali,335.17,12.0,30.88,5.63,15.0,2.1,1.0,1.0,1.7325,5.9,266.94,2.285,10.24,5.796666666666666,4.795000000000001,17.226666666666667,1.39
2019,Banten,1307.4650000000001,32.625,14.865,9.469999999999999,12.985,1.68,2.59,2.315,3.4433333333333334,6.0,933.4749999999999,32.64,27.045,45.015,79.335,227.065,68.12
2019,Bengkulu,63.36,31.6,37.5,15.0,8.0,2.0,0.8,1.0,2.5,4.45,33.89,6.93,10.38,3.46,2.59,1.5,7.5
2019,DKI Jakarta,17.01,23.02,2.97,0.18,0.9,0.08,0.9,0.7,0.65,72.2,20.7,215.365,63.0,83.63,0.0,141.27,11.6
2019,Daerah Istimewa Yogyakarta,361.96,65.64,7.09,6.34,10.79,2.12,0.68,0.32,1.12,5.03,199.7,2.35,26.0,80.08,35.595,1.54,6.205
2019,Gorontalo,139.84,41.0,15.0,12.1,22.4,1.7,3.0,1.5,2.0,4.1,5.8,1.2,3.2,1.3,1.1,0.7,0.5
2019,Jambi,149.37,36.0,13.25,18.8,14.0,4.0,3.83,3.0,2.0,6.0,20.0,1.53,29.0,3.0,2.5,2.45,8.3
2019,Jawa Barat,612.71,48.04,4.385,8.175,11.285,1.635,2.385,1.125,1.855,7.12,198.85,6.2,96.805,24.9,24.185000000000002,23.65,54.629999999999995
2019,Jawa Tengah,406.54,55.08,5.29,9.71,15.0,1.26,1.57,1.0,1.2,2.0549999999999997,172.0,2.75,22.2,4.9,10.65,6.39,4.6850000000000005
2019,Jawa Timur,324.55,54.31,4.15,9.51,16.5,0.8,1.2,1.0,1.0,2.08,76.695,2.135,12.5,4.7,4.415,9.705,5.5
2019,Kalimantan Barat,254.86,35.65,5.6,11.74,25.0,2.0,2.1175,2.0,2.0,3.0,106.67,6.0,26.73,11.690000000000001,6.76,7.136666666666667,3.785
2019,Kalimantan Selatan,107.87,55.78,8.38,10.6,14.2,1.25,1.21,0.74,2.0,1.3,42.31,1.53,8.045,3.5037499999999997,3.724444444444444,2.732222222222222,2.0
2019,Kalimantan Tengah,121.63,45.05,5.0,12.3,15.0,2.0,2.0,1.675,1.79,10.0,32.5,5.2,16.355999999999998,9.16,2.734,2.31,3.02
2019,Kalimantan Timur,184.79500000000002,49.195,5.18,10.344999999999999,19.45,2.955,1.135,0.375,1.375,1.0,84.69,2.24,10.09,4.755,2.3,4.7780000000000005,15.142500000000002
2019,Kalimantan Utara,99.22,43.7,10.1,19.7,19.15,0.6,1.1,0.1,0.1,5.55,1.75,0.08,4.5,3.69,1.49,0.06,2.0
2019,Kepulauan Bangka Belitung,82.16499999999999,29.994999999999997,25.73,10.02,16.21,7.335,6.39,2.325,0.77,1.225,43.8,2.5149999999999997,11.64,9.71,10.675,3.135,0.575
2019,Kepulauan Riau,159.445,32.9,14.15,13.55,21.25,2.3,2.5,1.7,1.3,2.25,43.15,4.949999999999999,7.135,5.85,6.015000000000001,13.450000000000001,14.1
2019,Lampung,169.72,25.0,10.0,5.0,25.0,1.5,0.375,0.375,0.225,7.625,159.945,1.225,4.7,1.6600000000000001,1.15,2.6166666666666667,41.925000000000004
2019,Maluku,49.8,35.0,12.0,11.6,14.6,3.0,3.0,2.0,2.0,3.8,56.16,5.0,15.0,9.87,1.19,4.525,1.04
2019,Maluku Utara,58.84,44.0,15.35,11.3,12.7,4.3,1.2000000000000002,1.25,4.75,5.15,37.010000000000005,5.53,14.129999999999999,10.66,6.74,4.475,3.0100000000000002
2019,Nusa Tenggara Barat,480.24,49.3,29.7,3.5,10.5,1.2,4.0,0.4,1.3,0.1,25.0,0.15,15.0,3.0,31.42,0.47,20.0
2019,Nusa Tenggara Timur,110.51,29.0,20.0,11.0,20.0,4.25,3.0,2.15,3.0,5.0,40.0,3.41,8.5,8.0,5.0,3.5,2.86
2019,Papua,58.17,15.0,10.58,27.83,14.79,5.0,2.05,1.08,4.52,3.71,29.0,3.64,9.75,5.0,3.57,2.0,1.0
2019,Papua Barat,33.13,0.0,0.0,0.0,0.0,0.0,5.0,7.5,0.0,19.0,0.0,0.0,0.0,0.0,0.6,3.0,2.7650000000000006
2019,Riau,344.98,20.0,15.0,10.0,26.0,3.0,3.0,2.0,3.0,4.0,106.2,4.025,48.0,51.8,4.55,11.4,41.75
2019,Sulawesi Barat,177.03,65.06,12.35,8.05,6.5,5.55,0.45,0.35,0.27,1.42,109.74,5.31,12.39,8.85,19.47,14.16,7.08
2019,Sulawesi Selatan,117.4,43.0,11.0,10.5,14.0,3.0,2.091818181818182,1.770909090909091,2.0,3.0,37.885000000000005,2.685,7.335,2.745,2.9,5.137,7.412999999999999
2019,Sulawesi Tengah,110.505,30.985,17.455,18.494999999999997,17.78,4.4,2.375,2.33,2.325,3.855,8.55,0.875,2.55,1.105,1.26,0.81,0.65
2019,Sulawesi Tenggara,105.06,40.0,29.0,8.0,12.5,3.5,1.5,1.5,1.5,2.5,65.0,1.05,8.5,5.0,6.0,1.0,2.5
2019,Sulawesi Utara,61.83,49.11,5.1,10.0,18.92,4.0,3.0,2.0,2.0,6.4,21.675,2.545,9.135,5.34,2.9450000000000003,0.6,1.415
2019,Sumatera Barat,95.33500000000001,46.76277777777778,11.9725,14.675,16.235,2.14,0.89,0.595,1.7693750000000001,4.892857142857142,55.84625,1.78,13.151249999999997,1.53,1.5,0.9949999999999999,5.582
2019,Sumatera Selatan,361.84000000000003,53.955,7.9350000000000005,8.91,20.119999999999997,0.885,1.275,0.43,0.6699999999999999,2.2,154.475,2.365,16.61,7.279999999999999,1.82,1.395,47.10166666666667
2019,Sumatera Utara,264.995,25.04,12.495000000000001,15.4,17.625,2.045,2.645,1.5,0.9,6.25,7.782500000000001,0.75,2.7,3.0,1.5875,2.42,1.9125
