Tahun,Provinsi,n_kabkota
2019,Aceh,5
2019,Bali,5
2019,Banten,4
2019,Bengkulu,3
2019,DKI Jakarta,1
2019,Daerah Istimewa Yogyakarta,3
2019,Gorontalo,3
2019,Jambi,3
2019,Jawa Barat,6
2019,Jawa Tengah,17
2019,Jawa Timur,23
2019,Kalimantan Barat,5
2019,Kalimantan Selatan,11
2019,Kalimantan Tengah,7
2019,Kalimantan Timur,8
2019,Kalimantan Utara,2
2019,Kepulauan Bangka Belitung,2
2019,Kepulauan Riau,4
2019,Lampung,4
2019,Maluku,3
2019,Maluku Utara,2
2019,Nusa Tenggara Barat,1
2019,Nusa Tenggara Timur,1
2019,Papua,3
2019,Papua Barat,1
2019,Riau,3
2019,Sulawesi Barat,1
2019,Sulawesi Selatan,13
2019,Sulawesi Tengah,2
2019,Sulawesi Tenggara,2
2019,Sulawesi Utara,5
2019,Sumatera Barat,10
2019,Sumatera Selatan,4
2019,Sumatera Utara,6
2020,Aceh,6
2020,Bali,5
2020,Banten,3
2020,Bengkulu,1
2020,DKI Jakarta,2
2020,Daerah Istimewa Yogyakarta,1
2020,Gorontalo,2
2020,Jambi,4
2020,Jawa Barat,7
2020,Jawa Tengah,17
2020,Jawa Timur,19
2020,Kalimantan Barat,6
2020,Kalimantan Selatan,9
2020,Kalimantan Tengah,8
2020,Kalimantan Timur,6
2020,Kalimantan Utara,2
2020,Kepulauan Bangka Belitung,4
2020,Kepulauan Riau,5
2020,Lampung,3
2020,Maluku,2
2020,Maluku Utara,2
2020,Nusa Tenggara Barat,1
2020,Nusa Tenggara Timur,2
2020,Papua,4
2020,Papua Barat,2
2020,Riau,3
2020,Sulawesi Barat,2
2020,Sulawesi Selatan,12
2020,Sulawesi Tengah,2
2020,Sulawesi Tenggara,1
2020,Sulawesi Utara,4
2020,Sumatera Barat,10
2020,Sumatera Selatan,8
2020,Sumatera Utara,7
2021,Aceh,6
2021,Bali,6
2021,Banten,1
2021,Bengkulu,1
2021,DKI Jakarta,1
2021,Daerah Istimewa Yogyakarta,2
2021,Gorontalo,1
2021,Jambi,3
2021,Jawa Barat,9
2021,Jawa Tengah,23
2021,Jawa Timur,21
2021,Kalimantan Barat,2
2021,Kalimantan Selatan,11
2021,Kalimantan Tengah,7
2021,Kalimantan Timur,7
2021,Kalimantan Utara,1
2021,Kepulauan Bangka Belitung,5
2021,Kepulauan Riau,2
2021,Lampung,3
2021,Maluku,2
2021,Maluku Utara,1
2021,Nusa Tenggara Barat,3
2021,Nusa Tenggara Timur,2
2021,Papua,6
2021,Papua Barat,1
2021,Riau,4
2021,Sulawesi Barat,1
2021,Sulawesi Selatan,13
2021,Sulawesi Tengah,1
2021,Sulawesi Tenggara,1
2021,Sulawesi Utara,8
2021,Sumatera Barat,7
2021,Sumatera Selatan,6
2021,Sumatera Utara,12
2022,Aceh,17
2022,Bali,7
2022,Banten,6
2022,Bengkulu,3
2022,DKI Jakarta,1
2022,Daerah Istimewa Yogyakarta,4
2022,Gorontalo,4
2022,Jambi,5
2022,Jawa Barat,10
2022,Jawa Tengah,26
2022,Jawa Timur,31
2022,Kalimantan Barat,3
2022,Kalimantan Selatan,9
2022,Kalimantan Tengah,9
2022,Kalimantan Timur,9
2022,Kalimantan Utara,1
2022,Kepulauan Bangka Belitung,4
2022,Kepulauan Riau,3
2022,Lampung,5
2022,Maluku,1
2022,Maluku Utara,2
2022,Nusa Tenggara Barat,6
2022,Nusa Tenggara Timur,3
2022,Papua,4
2022,Papua Barat,2
2022,Papua Barat Daya,1
2022,Papua Pegunungan,1
2022,Papua Selatan,3
2022,Papua Tengah,1
2022,Riau,6
2022,Sulawesi Barat,1
2022,Sulawesi Selatan,16
2022,Sulawesi Tengah,5
2022,Sulawesi Tenggara,7
2022,Sulawesi Utara,11
2022,Sumatera Barat,16
2022,Sumatera Selatan,8
2022,Sumatera Utara,10
2023,Aceh,23
2023,Bali,8
2023,Banten,5
2023,Bengkulu,5
2023,DKI Jakarta,1
2023,Daerah Istimewa Yogyakarta,4
2023,Gorontalo,4
2023,Jambi,4
2023,Jawa Barat,14
2023,Jawa Tengah,27
2023,Jawa Timur,29
2023,Kalimantan Barat,7
2023,Kalimantan Selatan,11
2023,Kalimantan Tengah,10
2023,Kalimantan Timur,9
2023,Kalimantan Utara,1
2023,Kepulauan Bangka Belitung,5
2023,Kepulauan Riau,3
2023,Lampung,9
2023,Maluku,4
2023,Maluku Utara,1
2023,Nusa Tenggara Barat,4
2023,Nusa Tenggara Timur,11
2023,Papua,4
2023,Papua Barat,2
2023,Papua Barat Daya,2
2023,Papua Pegunungan,1
2023,Papua Selatan,2
2023,Papua Tengah,1
2023,Riau,5
2023,Sulawesi Barat,1
2023,Sulawesi Selatan,16
2023,Sulawesi Tengah,5
2023,Sulawesi Tenggara,8
2023,Sulawesi Utara,11
2023,Sumatera Barat,14
2023,Sumatera Selatan,9
2023,Sumatera Utara,10
2024,Aceh,22
2024,Bali,9
2024,Banten,5
2024,Bengkulu,3
2024,DKI Jakarta,1
2024,Daerah Istimewa Yogyakarta,3
2024,Gorontalo,1
2024,Jambi,3
2024,Jawa Barat,15
2024,Jawa Tengah,30
2024,Jawa Timur,33
2024,Kalimantan Barat,5
2024,Kalimantan Selatan,11
2024,Kalimantan Tengah,9
2024,Kalimantan Timur,6
2024,Kalimantan Utara,1
2024,Kepulauan Bangka Belitung,5
2024,Kepulauan Riau,3
2024,Lampung,6
2024,Maluku,2
2024,Maluku Utara,1
2024,Nusa Tenggara Barat,5
2024,Nusa Tenggara Timur,20
2024,Papua,3
2024,Papua Barat,1
2024,Papua Barat Daya,1
2024,Papua Pegunungan,1
2024,Papua Selatan,1
2024,Papua Tengah,1
2024,Riau,5
2024,Sulawesi Barat,1
2024,Sulawesi Selatan,16
2024,Sulawesi Tengah,4
2024,Sulawesi Tenggara,6
2024,Sulawesi Utara,13
2024,Sumatera Barat,10
2024,Sumatera Selatan,9
2024,Sumatera Utara,9
2025,Aceh,20
2025,Bali,4
2025,Banten,1
2025,Bengkulu,1
2025,DKI Jakarta,4
2025,Daerah Istimewa Yogyakarta,5
2025,Gorontalo,1
2025,Jambi,1
2025,Jawa Barat,8
2025,Jawa Tengah,5
2025,Jawa Timur,11
2025,Kalimantan Barat,6
2025,Kalimantan Selatan,7
2025,Kalimantan Tengah,7
2025,Kalimantan Timur,10
2025,Kalimantan Utara,1
2025,Kepulauan Bangka Belitung,1
2025,Kepulauan Riau,3
2025,Lampung,6
2025,Maluku,2
2025,Maluku Utara,1
2025,Nusa Tenggara Barat,1
2025,Nusa Tenggara Timur,19
2025,Papua,1
2025,Papua Barat,1
2025,Papua Barat Daya,1
2025,Papua Pegunungan,1
2025,Papua Selatan,1
2025,Papua Tengah,1
2025,Riau,3
2025,Sulawesi Barat,1
2025,Sulawesi Selatan,5
2025,Sulawesi Tengah,1
2025,Sulawesi Tenggara,5
2025,Sulawesi Utara,12
2025,Sumatera Barat,5
2025,Sumatera Selatan,3
2025,Sumatera Utara,3
