Tahun,Provinsi,Kolom,Tingkat,Sumber Data,Uji Normalitas,Metode,Nilai Isi
2025,Jambi,Timbulan Sampah Harian(ton),2,"provinsi Jambi, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",156.955
2025,Nusa Tenggara Barat,Timbulan Sampah Harian(ton),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.1139,"mean (distribusi normal, Shapiro-Wilk)",310.5495
2025,Papua,Timbulan Sampah Harian(ton),2,"provinsi Papua, semua tahun",p=0.0001,"median (distribusi tidak normal, Shapiro-Wilk)",58.57
2025,Papua Barat,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat, semua tahun",p=0.0187,"median (distribusi tidak normal, Shapiro-Wilk)",156.67
2025,Papua Selatan,Timbulan Sampah Harian(ton),2,"provinsi Papua Selatan, semua tahun",p=0.0664,"mean (distribusi normal, Shapiro-Wilk)",47.4
2025,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",113.0
2024,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",113.0
2022,Papua Pegunungan,Timbulan Sampah Harian(ton),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",113.0
2019,Nusa Tenggara Timur,Timbulan Sampah Harian(ton),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0174,"median (distribusi tidak normal, Shapiro-Wilk)",110.51
2020,Bengkulu,Timbulan Sampah Harian(ton),2,"provinsi Bengkulu, semua tahun",p=0.1267,"mean (distribusi normal, Shapiro-Wilk)",134.535
2020,Sulawesi Tenggara,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0007,"median (distribusi tidak normal, Shapiro-Wilk)",91.0
2021,Banten,Timbulan Sampah Harian(ton),2,"provinsi Banten, semua tahun",p=0.0004,"median (distribusi tidak normal, Shapiro-Wilk)",614.97
2021,DKI Jakarta,Timbulan Sampah Harian(ton),2,"provinsi DKI Jakarta, semua tahun",p=0.0075,"median (distribusi tidak normal, Shapiro-Wilk)",1971.55
2021,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.1292,"mean (distribusi normal, Shapiro-Wilk)",129.565
2022,Papua Barat Daya,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat Daya, semua tahun",p=0.3743,"mean (distribusi normal, Shapiro-Wilk)",75.49
2022,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",47.13
2022,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.3561,"mean (distribusi normal, Shapiro-Wilk)",129.565
2023,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0041,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2023,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.4390,"mean (distribusi normal, Shapiro-Wilk)",129.565
2024,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0009,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2024,Papua Barat Daya,Timbulan Sampah Harian(ton),2,"provinsi Papua Barat Daya, semua tahun",p=0.5897,"mean (distribusi normal, Shapiro-Wilk)",75.49
2024,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",47.13
2025,Kalimantan Utara,Timbulan Sampah Harian(ton),2,"provinsi Kalimantan Utara, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",44.95
2025,Maluku Utara,Timbulan Sampah Harian(ton),2,"provinsi Maluku Utara, semua tahun",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",46.31
2025,Papua Tengah,Timbulan Sampah Harian(ton),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",47.13
2025,Sulawesi Barat,Timbulan Sampah Harian(ton),2,"provinsi Sulawesi Barat, semua tahun",p=0.3704,"mean (distribusi normal, Shapiro-Wilk)",129.565
2025,Jambi,Sisa Makanan (%),2,"provinsi Jambi, semua tahun",p=0.0330,"median (distribusi tidak normal, Shapiro-Wilk)",38.325
2025,Nusa Tenggara Barat,Sisa Makanan (%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.1430,"mean (distribusi normal, Shapiro-Wilk)",41.34
2025,Papua,Sisa Makanan (%),2,"provinsi Papua, semua tahun",p=0.0006,"median (distribusi tidak normal, Shapiro-Wilk)",17.5
2025,Papua Barat,Sisa Makanan (%),2,"provinsi Papua Barat, semua tahun",p=0.0041,"median (distribusi tidak normal, Shapiro-Wilk)",44.0
2025,Papua Selatan,Sisa Makanan (%),2,"provinsi Papua Selatan, semua tahun",p=0.1390,"mean (distribusi normal, Shapiro-Wilk)",20.8667
2025,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",22.0
2024,Kalimantan Selatan,Sisa Makanan (%),1,"provinsi Kalimantan Selatan, tahun 2024",p=0.5996,"mean (distribusi normal, Shapiro-Wilk)",46.608
2024,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",22.0
2023,Kalimantan Barat,Sisa Makanan (%),1,"provinsi Kalimantan Barat, tahun 2023",p=0.0011,"median (distribusi tidak normal, Shapiro-Wilk)",40.0
2022,Papua Pegunungan,Sisa Makanan (%),2,"provinsi Papua Pegunungan, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",22.0
2021,Sumatera Utara,Sisa Makanan (%),1,"provinsi Sumatera Utara, tahun 2021",p=0.7302,"mean (distribusi normal, Shapiro-Wilk)",29.4891
2021,Bali,Sisa Makanan (%),1,"provinsi Bali, tahun 2021",p=0.6491,"mean (distribusi normal, Shapiro-Wilk)",14.302
2020,Riau,Sisa Makanan (%),1,"provinsi Riau, tahun 2020",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",15.0
2020,Bali,Sisa Makanan (%),1,"provinsi Bali, tahun 2020",p=0.3119,"mean (distribusi normal, Shapiro-Wilk)",11.3025
2019,Sumatera Barat,Sisa Makanan (%),1,"provinsi Sumatera Barat, tahun 2019",p=0.5156,"mean (distribusi normal, Shapiro-Wilk)",47.5256
2019,Nusa Tenggara Timur,Sisa Makanan (%),2,"provinsi Nusa Tenggara Timur, semua tahun",p=0.0168,"median (distribusi tidak normal, Shapiro-Wilk)",29.0
2020,Bengkulu,Sisa Makanan (%),2,"provinsi Bengkulu, semua tahun",p=0.0993,"mean (distribusi normal, Shapiro-Wilk)",46.2594
2020,Sulawesi Tenggara,Sisa Makanan (%),2,"provinsi Sulawesi Tenggara, semua tahun",p=0.0076,"median (distribusi tidak normal, Shapiro-Wilk)",43.65
2021,Banten,Sisa Makanan (%),2,"provinsi Banten, semua tahun",p=0.0262,"median (distribusi tidak normal, Shapiro-Wilk)",42.615
2021,DKI Jakarta,Sisa Makanan (%),2,"provinsi DKI Jakarta, semua tahun",p=0.0138,"median (distribusi tidak normal, Shapiro-Wilk)",49.87
2021,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.4981,"mean (distribusi normal, Shapiro-Wilk)",41.56
2022,Papua Barat Daya,Sisa Makanan (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.2123,"mean (distribusi normal, Shapiro-Wilk)",25.4333
2022,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.0
2022,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.5451,"mean (distribusi normal, Shapiro-Wilk)",41.56
2023,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.1036,"mean (distribusi normal, Shapiro-Wilk)",37.1086
2023,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.3936,"mean (distribusi normal, Shapiro-Wilk)",41.56
2024,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.0807,"mean (distribusi normal, Shapiro-Wilk)",37.1086
2024,Papua Barat Daya,Sisa Makanan (%),2,"provinsi Papua Barat Daya, semua tahun",p=0.3961,"mean (distribusi normal, Shapiro-Wilk)",25.4333
2024,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2025,Kalimantan Utara,Sisa Makanan (%),2,"provinsi Kalimantan Utara, semua tahun",p=0.0905,"mean (distribusi normal, Shapiro-Wilk)",46.545
2025,Maluku Utara,Sisa Makanan (%),2,"provinsi Maluku Utara, semua tahun",p=0.0492,"median (distribusi tidak normal, Shapiro-Wilk)",37.1086
2025,Papua Tengah,Sisa Makanan (%),2,"provinsi Papua Tengah, semua tahun",p=1.0000,"mean (distribusi normal, Shapiro-Wilk)",10.0
2025,Sulawesi Barat,Sisa Makanan (%),2,"provinsi Sulawesi Barat, semua tahun",p=0.2023,"mean (distribusi normal, Shapiro-Wilk)",41.56
2025,Jambi,Kayu-Ranting (%),2,"provinsi Jambi, semua tahun",p=0.0522,"mean (distribusi normal, Shapiro-Wilk)",11.7719
2025,Kepulauan Bangka Belitung,Kayu-Ranting (%),2,"provinsi Kepulauan Bangka Belitung, semua tahun",p=0.0000,"median (distribusi tidak normal, Shapiro-Wilk)",13.78
2025,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2025",p=0.3412,"mean (distribusi normal, Shapiro-Wilk)",10.695
2025,Nusa Tenggara Barat,Kayu-Ranting (%),2,"provinsi Nusa Tenggara Barat, semua tahun",p=0.0197,"median (distribusi tidak normal, Shapiro-Wilk)",14.58
2025,Papua,Kayu-Ranting (%),2,"provinsi Papua, semua tahun",p=0.0001,"median (distribusi tidak normal, Shapiro-Wilk)",10.5
2025,Papua Barat,Kayu-Ranting (%),2,"provinsi Papua Barat, semua tahun",p=0.0246,"median (distribusi tidak normal, Shapiro-Wilk)",2.0
2025,Papua Selatan,Kayu-Ranting (%),2,"provinsi Papua Selatan, semua tahun",p=0.2536,"mean (distribusi normal, Shapiro-Wilk)",11.85
2025,Papua Pegunungan,Kayu-Ranting (%),2,"provinsi Papua Pegunungan, semua tahun",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",10.0
2024,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2024",p=0.1506,"mean (distribusi normal, Shapiro-Wilk)",12.3733
2024,Kepulauan Bangka Belitung,Kayu-Ranting (%),1,"provinsi Kepulauan Bangka Belitung, tahun 2024",p=0.4283,"mean (distribusi normal, Shapiro-Wilk)",9.625
2024,Jawa Tengah,Kayu-Ranting (%),1,"provinsi Jawa Tengah, tahun 2024",p=0.0002,"median (distribusi tidak normal, Shapiro-Wilk)",9.5
2024,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2024",tidak diuji,"nilai tunggal (hanya 1 data tersedia, mean = median)",1.8
2024,Daerah Istimewa Yogyakarta,Kayu-Ranting (%),1,"provinsi Daerah Istimewa Yogyakarta, tahun 2024",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",1.8
2024,Sulawesi Selatan,Kayu-Ranting (%),1,"provinsi Sulawesi Selatan, tahun 2024",p=0.0048,"median (distribusi tidak normal, Shapiro-Wilk)",11.215
2024,Sulawesi Selatan,Kayu-Ranting (%),1,"provinsi Sulawesi Selatan, tahun 2024",p=0.0024,"median (distribusi tidak normal, Shapiro-Wilk)",11.215
2024,Papua Pegunungan,Kayu-Ranting (%),2,"provinsi Papua Pegunungan, semua tahun",p=nan,"median (distribusi tidak normal, Shapiro-Wilk)",10.0
2023,Sumatera Barat,Kayu-Ranting (%),1,"provinsi Sumatera Barat, tahun 2023",p=0.1543,"mean (distribusi normal, Shapiro-Wilk)",11.8331
2023,Kepulauan Bangka Belitung,Kayu-Ranting (%),1,"provinsi Kepulauan Bangka Belitung, tahun 2023",p=0.2879,"mean (distribusi normal, Shapiro-Wilk)",8.875
2023,Jawa Barat,Kayu-Ranting (%),1,"provinsi Jawa Barat, tahun 2023",p=0.0048,"median (distribusi tidak normal, Shapiro-Wilk)",7.5
