Run,K-Means,FCM,FRCM,FA-FRCM
1,2.0,1.0,3.0,4.0
2,3.0,4.0,1.0,2.0
3,2.0,3.0,1.0,4.0
4,3.0,2.0,1.0,4.0
5,1.0,2.0,4.0,3.0
6,3.0,4.0,2.0,1.0
7,1.0,2.0,3.0,4.0
8,1.0,2.0,4.0,3.0
9,4.0,1.0,3.0,2.0
10,2.0,3.0,1.0,4.0
11,1.5,3.0,1.5,4.0
12,2.0,3.0,1.0,4.0
13,2.0,4.0,1.0,3.0
14,2.0,3.0,4.0,1.0
15,2.0,3.0,1.0,4.0
16,3.0,4.0,2.0,1.0
17,1.0,2.0,3.0,4.0
18,2.0,3.0,1.0,4.0
19,2.5,4.0,1.0,2.5
20,3.0,4.0,1.0,2.0
21,1.0,3.0,4.0,2.0
22,4.0,3.0,1.5,1.5
23,1.0,3.0,2.0,4.0
24,2.0,3.0,4.0,1.0
25,1.0,4.0,3.0,2.0
26,1.5,3.0,1.5,4.0
27,1.0,3.0,2.0,4.0
28,1.0,3.0,2.0,4.0
29,2.0,4.0,1.0,3.0
30,2.0,3.0,1.0,4.0
31,1.0,4.0,3.0,2.0
32,1.0,3.0,2.0,4.0
33,2.0,3.0,1.0,4.0
34,3.0,4.0,2.0,1.0
35,1.0,3.0,2.0,4.0
36,4.0,2.0,1.0,3.0
37,2.0,3.0,1.0,4.0
38,3.0,4.0,2.0,1.0
39,2.0,3.0,1.0,4.0
40,2.0,3.0,4.0,1.0
41,2.0,3.0,1.0,4.0
42,2.0,3.0,1.0,4.0
43,3.0,4.0,1.0,2.0
44,1.0,4.0,2.0,3.0
45,1.0,2.0,4.0,3.0
46,2.0,3.0,1.0,4.0
47,1.0,2.0,3.0,4.0
48,1.0,4.0,2.0,3.0
49,3.0,4.0,1.0,2.0
50,2.0,3.0,1.0,4.0
51,1.0,2.0,4.0,3.0
52,1.0,3.0,2.0,4.0
53,2.0,3.0,1.0,4.0
54,2.0,4.0,1.0,3.0
55,2.0,3.0,1.0,4.0
56,1.0,3.0,2.0,4.0
57,1.0,3.0,2.0,4.0
58,2.0,3.0,1.0,4.0
59,2.0,3.0,1.0,4.0
60,1.0,3.0,2.0,4.0
61,3.0,4.0,1.0,2.0
62,1.0,3.0,2.0,4.0
63,2.0,3.0,1.0,4.0
64,1.0,3.0,2.0,4.0
65,4.0,1.0,3.0,2.0
66,1.0,4.0,2.0,3.0
67,3.0,4.0,2.0,1.0
68,1.0,2.0,3.0,4.0
69,4.0,3.0,1.0,2.0
70,1.0,3.0,4.0,2.0
71,1.0,4.0,3.0,2.0
72,1.0,2.0,4.0,3.0
73,2.0,3.0,1.0,4.0
74,2.0,3.0,1.0,4.0
75,2.0,4.0,3.0,1.0
76,1.0,2.0,4.0,3.0
77,2.0,3.0,1.0,4.0
78,1.0,2.0,4.0,3.0
79,1.0,3.0,2.0,4.0
80,1.0,3.0,4.0,2.0
81,1.0,3.0,4.0,2.0
82,3.0,4.0,2.0,1.0
83,2.0,3.0,1.0,4.0
84,2.0,3.0,1.0,4.0
85,1.0,3.0,2.0,4.0
86,2.0,3.0,1.0,4.0
87,2.0,3.0,1.0,4.0
88,2.0,4.0,1.0,3.0
89,2.0,3.0,1.0,4.0
90,2.0,3.0,1.0,4.0
91,1.0,2.0,4.0,3.0
92,2.0,4.0,1.0,3.0
93,2.0,3.0,1.0,4.0
94,2.0,3.0,1.0,4.0
95,2.0,4.0,1.0,3.0
96,2.0,3.0,4.0,1.0
97,2.0,3.0,1.0,4.0
98,2.0,3.0,4.0,1.0
99,1.0,3.0,2.0,4.0
100,1.0,3.0,4.0,2.0
