Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian
2019,Aceh,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2019,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2019,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2019,Bengkulu,2,0.4578369626503514,0.0,0.5421630373496485,0.0,boundary,Klaster 3,0.5422,Boundary (0.54)
2019,DKI Jakarta,0,0.5067776006118522,0.4932223993881478,0.0,0.0,boundary,Klaster 1,0.5068,Boundary (0.51)
2019,Daerah Istimewa Yogyakarta,0,0.5076337324132896,0.4923662675867103,0.0,0.0,boundary,Klaster 1,0.5076,Boundary (0.51)
2019,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Jawa Barat,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2019,Jawa Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Kepulauan Bangka Belitung,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2019,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Lampung,1,0.4765488987113141,0.5234511012886859,0.0,0.0,boundary,Klaster 2,0.5235,Boundary (0.52)
2019,Maluku,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Nusa Tenggara Barat,0,0.5503456037855684,0.4496543962144315,0.0,0.0,boundary,Klaster 1,0.5503,Boundary (0.55)
2019,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Papua,0,0.5129433303104896,0.0,0.0,0.4870566696895105,boundary,Klaster 1,0.5129,Boundary (0.51)
2019,Papua Barat,3,0.4997474190965644,0.0,0.0,0.5002525809034355,boundary,Klaster 4,0.5003,Boundary (0.50)
2019,Riau,1,0.3465596103571218,0.3591476191905561,0.0,0.2942927704523219,boundary,Klaster 2,0.3591,Boundary (0.36)
2019,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sulawesi Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2019,Sumatera Selatan,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
2019,Sumatera Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower)
2020,Aceh,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower)
2020,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower)
2020,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower)
