Tahun,Provinsi,label,u_cluster_0,u_cluster_1,u_cluster_2,u_cluster_3,region_type,nama_klaster,membership_dominan,kepastian,info_peta
2020,Aceh,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2020,Bali,2,0.0,0.0,1.0,0.0,lower,Klaster 3,1.0,Pasti (Lower),Klaster 3 | Pasti (Lower)
2020,Banten,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2020,Bengkulu,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,DKI Jakarta,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2020,Daerah Istimewa Yogyakarta,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Gorontalo,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Jambi,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Jawa Barat,1,0.0,1.0,0.0,0.0,lower,Klaster 2,1.0,Pasti (Lower),Klaster 2 | Pasti (Lower)
2020,Jawa Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Jawa Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kalimantan Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kalimantan Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kalimantan Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kalimantan Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kalimantan Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kepulauan Bangka Belitung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Kepulauan Riau,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Lampung,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Maluku,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2020,Maluku Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Nusa Tenggara Barat,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2020,Nusa Tenggara Timur,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Papua,3,0.4262505410389838,0.0,0.0,0.573749458961016,boundary,Klaster 4,0.57,Boundary (0.57),Klaster 4 | Boundary (0.57)
2020,Papua Barat,0,0.5211354546830824,0.0,0.0,0.4788645453169176,boundary,Klaster 1,0.52,Boundary (0.52),Klaster 1 | Boundary (0.52)
2020,Riau,3,0.0,0.0,0.0,1.0,lower,Klaster 4,1.0,Pasti (Lower),Klaster 4 | Pasti (Lower)
2020,Sulawesi Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sulawesi Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sulawesi Tengah,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sulawesi Tenggara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sulawesi Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sumatera Barat,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sumatera Selatan,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
2020,Sumatera Utara,0,1.0,0.0,0.0,0.0,lower,Klaster 1,1.0,Pasti (Lower),Klaster 1 | Pasti (Lower)
