TSNE1,TSNE2,cluster,Provinsi
-3.1327634,45.48121,3,Aceh
-5.20032,48.57939,2,Bali
6.439542,54.30657,1,Banten
-6.1670575,49.684635,2,Bengkulu
-3.6065004,53.30998,0,DKI Jakarta
-1.9045013,57.52712,0,Daerah Istimewa Yogyakarta
-0.16746214,50.219513,0,Gorontalo
-0.69584423,46.580746,0,Jambi
5.4743757,53.658035,1,Jawa Barat
-1.3928667,56.132427,0,Jawa Tengah
-1.0247529,55.68584,0,Jawa Timur
0.78173375,50.41174,0,Kalimantan Barat
-1.4953918,54.870754,0,Kalimantan Selatan
-1.9371758,52.640556,0,Kalimantan Tengah
0.08366425,55.090385,0,Kalimantan Timur
0.6093605,53.22274,0,Kalimantan Utara
-2.9455788,46.266273,3,Kepulauan Bangka Belitung
0.67147106,49.40291,0,Kepulauan Riau
4.6968484,52.036396,1,Lampung
-1.7439142,49.80617,0,Maluku
-3.3757892,50.77764,0,Maluku Utara
-6.054961,51.720867,0,Nusa Tenggara Barat
-2.0737112,48.259865,0,Nusa Tenggara Timur
0.8526743,45.994987,0,Papua
-3.7906601,44.493652,3,Papua Barat
4.3489866,51.250206,1,Riau
-2.6305556,57.828762,0,Sulawesi Barat
-2.2008266,51.31999,0,Sulawesi Selatan
-0.31966206,46.97012,0,Sulawesi Tengah
-5.410672,50.22204,0,Sulawesi Tenggara
-1.2956399,51.631065,0,Sulawesi Utara
-0.6948127,53.6091,0,Sumatera Barat
5.100793,53.266872,1,Sumatera Selatan
0.24387534,48.473385,0,Sumatera Utara
-66.406395,4.4029827,3,Aceh
-62.176506,4.981028,2,Bali
-53.96659,13.744017,1,Banten
-58.074814,8.390073,0,Bengkulu
-53.472355,11.585444,1,DKI Jakarta
-58.522305,13.534307,0,Daerah Istimewa Yogyakarta
-59.528526,10.667362,0,Gorontalo
-64.09057,7.512856,0,Jambi
-54.35218,12.545952,1,Jawa Barat
-55.646343,10.588053,0,Jawa Tengah
-57.02078,12.197812,0,Jawa Timur
-57.193825,10.299002,0,Kalimantan Barat
-58.253773,11.346929,0,Kalimantan Selatan
-59.57976,8.595073,0,Kalimantan Tengah
-59.321377,11.82206,0,Kalimantan Timur
-62.421856,11.282966,0,Kalimantan Utara
-59.447796,5.2260695,0,Kepulauan Bangka Belitung
-62.547913,9.841342,0,Kepulauan Riau
-62.439564,6.1672244,0,Lampung
-65.80207,5.7649536,3,Maluku
-61.095844,7.5420094,0,Maluku Utara
-64.8667,4.772309,3,Nusa Tenggara Barat
-64.33336,6.332657,0,Nusa Tenggara Timur
-66.10637,7.3346224,3,Papua
-59.29064,3.9805727,0,Papua Barat
-67.435005,6.851178,3,Riau
-66.19593,8.588647,0,Sulawesi Barat
-59.47472,7.574384,0,Sulawesi Selatan
-57.581535,6.7223225,0,Sulawesi Tengah
-58.85919,7.6985173,0,Sulawesi Tenggara
-55.67595,7.457906,0,Sulawesi Utara
-59.99965,10.376109,0,Sumatera Barat
-56.006493,11.966809,0,Sumatera Selatan
-61.062126,9.781441,0,Sumatera Utara
-19.68778,10.275195,3,Aceh
-23.07063,5.073084,2,Bali
-22.55366,-1.6838055,1,Banten
-21.76118,4.0923524,2,Bengkulu
-20.781227,-2.9847395,1,DKI Jakarta
-16.512701,-2.3824258,0,Daerah Istimewa Yogyakarta
-20.967493,12.199013,3,Gorontalo
-21.276472,1.1426135,0,Jambi
-21.363949,-1.7836556,1,Jawa Barat
-20.599169,-0.89830583,0,Jawa Tengah
-19.457813,0.19210024,0,Jawa Timur
-16.530363,-0.63949513,0,Kalimantan Barat
-17.712187,0.5633639,0,Kalimantan Selatan
-17.129715,5.7171674,0,Kalimantan Tengah
-17.669527,1.1446613,0,Kalimantan Timur
-14.699765,2.2351286,0,Kalimantan Utara
-20.951632,7.649709,0,Kepulauan Bangka Belitung
-16.19737,8.630833,0,Kepulauan Riau
-20.427263,5.088739,0,Lampung
-20.07403,10.46829,3,Maluku
-22.193537,7.5317597,0,Maluku Utara
-20.134287,6.742653,0,Nusa Tenggara Barat
-16.96352,8.739098,0,Nusa Tenggara Timur
-19.455368,5.722957,0,Papua
-19.764452,11.828672,3,Papua Barat
-18.189499,-0.5984254,0,Riau
-18.482788,3.342345,0,Sulawesi Barat
-19.59973,4.2388577,0,Sulawesi Selatan
-17.351711,9.3639345,0,Sulawesi Tengah
-15.845655,2.0434973,0,Sulawesi Tenggara
-17.896713,5.255759,0,Sulawesi Utara
-16.590292,1.0517489,0,Sumatera Barat
-18.683681,0.985704,0,Sumatera Selatan
-20.069275,8.737109,3,Sumatera Utara
-21.177513,-41.033455,0,Aceh
-19.182028,-47.478603,2,Bali
-30.316664,-36.19661,1,Banten
-25.88198,-37.039288,0,Bengkulu
-20.337502,-45.929264,0,DKI Jakarta
-29.047823,-43.05635,0,Daerah Istimewa Yogyakarta
-22.602724,-44.71417,0,Gorontalo
-23.06697,-44.195137,0,Jambi
